"","United States","","Georgia","","Atlanta-Sandy Springs-Alpharetta, GA Metro Area","","Savannah, GA Metro Area",""
"Label (Grouping)","United States!!Estimate","United States!!Margin of Error","Georgia!!Estimate","Georgia!!Margin of Error","Atlanta-Sandy Springs-Alpharetta, GA Metro Area!!Estimate","Atlanta-Sandy Springs-Alpharetta, GA Metro Area!!Margin of Error","Savannah, GA Metro Area!!Estimate","Savannah, GA Metro Area!!Margin of Error"
"    Moved from different state:","7,428,810","±36,590","278,030","±7,358","154,964","±5,075","17,082","±1,573"
"        1 to 4 years","415,508","±7,795","17,839","±1,435","10,043","±1,100","1,238","±406"
"        5 to 17 years","863,391","±12,814","40,576","±2,343","23,968","±1,882","2,090","±483"
"        18 and 19 years","539,103","±5,303","13,372","±1,006","4,703","±612","1,354","±287"
"        20 to 24 years","1,078,130","±11,227","37,097","±2,066","18,396","±1,469","2,230","±431"
"        25 to 29 years","1,067,492","±8,508","37,805","±1,947","22,034","±1,674","2,256","±458"
"        30 to 34 years","740,727","±7,605","27,400","±1,381","16,137","±1,203","1,457","±356"
"        35 to 39 years","524,303","±8,395","20,525","±1,400","12,685","±1,153","1,167","±391"
"        40 to 44 years","372,007","±6,596","15,971","±1,425","8,811","±993","1,368","±560"
"        45 to 49 years","317,157","±4,728","13,822","±1,342","8,101","±1,045","836","±283"
"        50 to 54 years","302,486","±5,324","11,419","±924","7,026","±749","593","±209"
"        55 to 59 years","299,386","±5,146","11,424","±1,159","6,943","±937","605","±233"
"        60 to 64 years","281,496","±4,461","10,208","±981","4,865","±719","742","±227"
"        65 to 69 years","229,212","±4,447","7,742","±792","3,838","±595","486","±175"
"        70 to 74 years","157,081","±4,256","4,906","±730","2,549","±557","248","±139"
"        75 years and over","241,331","±4,400","7,924","±812","4,865","±700","412","±160"
"    Moved from abroad:","1,942,663","±18,880","56,429","±3,357","37,646","±2,919","2,543","±477"
"        1 to 4 years","104,865","±3,589","3,449","±755","2,451","±620","72","±52"
"        5 to 17 years","286,314","±6,289","8,443","±1,041","5,879","±875","333","±172"
"        18 and 19 years","94,817","±2,833","2,250","±416","1,496","±332","186","±80"
"        20 to 24 years","246,452","±4,838","5,939","±887","3,269","±742","548","±160"
"        25 to 29 years","249,811","±4,591","7,159","±816","4,936","±713","213","±113"
"        30 to 34 years","199,572","±4,474","6,492","±725","4,140","±588","295","±158"
"        35 to 39 years","151,452","±3,809","5,230","±714","3,450","±542","130","±118"
"        40 to 44 years","115,023","±3,238","3,764","±753","2,741","±633","84","±80"
"        45 to 49 years","93,758","±3,170","2,447","±431","1,481","±348","118","±118"
"        50 to 54 years","76,611","±2,498","3,054","±698","2,438","±709","124","±77"
"        55 to 59 years","74,503","±2,449","1,774","±394","1,152","±319","84","±82"
"        60 to 64 years","73,849","±2,348","2,185","±516","1,442","±383","123","±107"
"        65 to 69 years","62,304","±2,270","1,690","±389","1,054","±313","151","±140"
"        70 to 74 years","46,239","±2,133","932","±292","736","±282","5","±7"
"        75 years and over","67,093","±2,010","1,621","±325","981","±238","77","±66"
