"","Albany, GA Metro Area","","Americus, GA Micro Area","","Athens-Clarke County, GA Metro Area","","Atlanta-Sandy Springs-Roswell, GA Metro Area","","Augusta-Richmond County, GA-SC Metro Area","","Bainbridge, GA Micro Area","","Brunswick, GA Metro Area","","Calhoun, GA Micro Area","","Cedartown, GA Micro Area","","Chattanooga, TN-GA Metro Area","","Columbus, GA-AL Metro Area","","Cordele, GA Micro Area","","Cornelia, GA Micro Area","","Dalton, GA Metro Area","","Douglas, GA Micro Area","","Dublin, GA Micro Area","","Eufaula, AL-GA Micro Area","","Fitzgerald, GA Micro Area","","Gainesville, GA Metro Area","","Hinesville, GA Metro Area","","Jefferson, GA Micro Area","","Jesup, GA Micro Area","","LaGrange, GA Micro Area","","Macon-Bibb County, GA Metro Area","","Milledgeville, GA Micro Area","","Moultrie, GA Micro Area","","Rome, GA Metro Area","","St. Marys, GA Micro Area","","Savannah, GA Metro Area","","Statesboro, GA Micro Area","","Summerville, GA Micro Area","","Thomaston, GA Micro Area","","Thomasville, GA Micro Area","","Tifton, GA Micro Area","","Toccoa, GA Micro Area","","Valdosta, GA Metro Area","","Vidalia, GA Micro Area","","Warner Robins, GA Metro Area","","Waycross, GA Micro Area","","United States","","Georgia",""
"    45 to 49 years","9,303","±194","2,203","±101","11,484","±242","421,645","±691","36,301","±266","1,717","±51","7,389","±180","4,019","±224","2,788","±248","35,941","±212","18,491","±181","1,387","±106","2,906","±161","9,980","±155","2,822","±112","3,671","±103","1,827","±62","986","±105","13,444","±105","3,939","±239","4,501","±126","2,094","±133","4,440","±95","14,275","±254","3,258","±126","2,901","±87","6,050","±135","3,166","±123","22,803","±206","3,713","±81","1,739","±83","1,709","±29","2,798","±38","2,366","±117","1,802","±185","8,031","±234","2,244","±189","12,085","±227","3,569","±147","20,961,596","±5,798","701,759","±1,262"
"    50 to 54 years","9,956","±133","2,236","±107","11,118","±209","405,715","±587","40,349","±272","1,899","±46","8,231","±206","4,058","±186","2,564","±155","38,374","±233","19,853","±175","1,512","±27","2,903","±115","9,691","±153","2,982","±126","3,830","±96","1,923","±62","1,166","±67","12,858","±130","4,399","±197","4,361","±149","2,063","±120","4,725","±121","16,038","±204","3,643","±145","2,958","±100","6,432","±137","3,403","±141","23,922","±132","3,909","±63","1,680","±88","1,940","±18","3,256","±104","2,593","±137","1,728","±112","8,425","±180","2,359","±118","13,601","±272","3,696","±169","22,129,547","±4,961","705,283","±1,317"
"    55 to 59 years","9,584","±556","2,267","±263","10,934","±500","355,692","±2,897","39,401","±1,134","1,758","±227","8,837","±531","3,647","±343","2,596","±276","38,312","±1,095","19,949","±634","1,739","±234","2,548","±237","8,878","±493","2,627","±276","3,880","±260","1,885","±160","1,095","±156","11,292","±448","3,982","±269","3,938","±319","1,901","±236","4,774","±362","15,894","±666","3,710","±266","2,892","±277","6,447","±380","3,419","±276","23,709","±721","3,605","±402","1,749","±183","2,013","±225","3,240","±327","2,406","±233","1,971","±278","8,124","±439","2,344","±221","12,714","±712","3,774","±342","21,523,460","±22,187","647,598","±4,156"
"    60 to 64 years","10,027","±557","2,029","±258","10,617","±459","298,051","±2,770","37,849","±1,091","1,618","±220","7,744","±536","3,277","±324","2,425","±293","35,965","±1,081","16,525","±630","1,450","±230","2,777","±246","7,269","±481","2,279","±280","3,529","±258","1,804","±180","1,252","±149","10,224","±455","3,447","±304","3,607","±309","1,750","±232","3,748","±353","14,976","±669","3,384","±272","2,388","±270","5,623","±333","2,389","±264","20,329","±713","3,637","±405","1,564","±178","1,642","±225","2,819","±324","2,408","±253","1,535","±258","7,346","±375","2,138","±217","9,699","±684","3,211","±343","19,224,060","±21,739","562,724","±4,171"
"    65 to 69 years","7,885","±356","1,766","±161","8,544","±480","239,792","±2,538","30,174","±901","1,280","±150","7,129","±499","2,587","±254","2,243","±264","31,311","±834","13,438","±450","1,282","±197","2,588","±223","6,191","±330","2,007","±213","3,238","±213","1,663","±125","929","±129","8,827","±453","2,325","±239","3,365","±210","1,433","±189","3,326","±240","12,280","±561","2,833","±216","2,318","±233","4,727","±307","2,329","±227","17,538","±562","2,636","±245","1,332","±141","1,501","±191","2,646","±229","1,740","±190","1,503","±218","5,853","±357","1,702","±220","8,115","±473","2,822","±268","15,926,903","±17,846","467,275","±3,498"
"    70 to 74 years","5,388","±323","1,621","±176","6,451","±446","163,911","±2,528","21,815","±925","1,120","±139","5,749","±474","2,076","±245","1,584","±239","21,902","±830","9,892","±446","985","±206","2,067","±231","5,194","±320","1,517","±223","2,139","±216","1,469","±146","702","±137","7,070","±448","1,901","±252","2,321","±268","1,268","±195","2,429","±236","8,513","±545","2,191","±216","1,546","±245","3,968","±321","1,754","±212","12,569","±572","2,191","±244","1,100","±142","1,242","±180","1,674","±222","1,622","±181","1,495","±207","4,406","±318","1,523","±200","5,950","±445","2,291","±257","11,576,486","±17,881","335,122","±3,181"
"    75 years and over","8,859","±104","2,223","±95","9,497","±147","231,805","±560","33,938","±283","1,813","±48","8,324","±187","3,001","±110","2,453","±124","38,891","±178","16,091","±170","1,614","±24","3,233","±81","7,491","±189","2,057","±71","4,038","±60","2,127","±99","1,099","±2","10,672","±94","2,172","±168","3,431","±149","1,698","±51","3,877","±22","14,344","±163","3,314","±109","2,666","±113","6,623","±99","2,031","±17","19,624","±113","2,999","±40","1,709","±64","1,909","±70","3,180","±19","2,321","±54","1,794","±48","7,068","±150","2,343","±108","9,765","±246","3,878","±158","20,229,000","±3,677","498,033","±886"
"    Same house 1 year ago:","127,269","±1,696","28,417","±861","157,605","±1,947","4,750,475","±11,560","500,437","±3,387","23,385","±516","95,312","±1,459","48,590","±1,171","35,670","±923","472,298","±3,007","239,698","±2,529","18,724","±840","39,441","±570","126,454","±1,403","38,411","±614","49,262","±876","24,568","±517","15,570","±411","164,877","±1,828","55,690","±1,515","57,826","±794","24,845","±724","57,528","±1,139","192,842","±1,998","42,924","±1,154","37,319","±1,207","79,746","±1,475","40,200","±1,055","294,307","±3,445","54,287","±1,138","22,163","±539","22,091","±630","35,851","±1,053","35,973","±618","22,178","±695","116,364","±1,854","30,273","±1,005","156,632","±2,400","46,916","±1,002","270,854,872","±198,355","8,490,573","±14,685"
"        1 to 4 years","6,362","±369","1,147","±220","7,110","±375","241,059","±2,825","23,373","±745","1,367","±121","4,055","±396","2,342","±281","1,938","±262","20,593","±710","12,332","±714","878","±259","1,912","±130","6,440","±383","2,059","±219","2,169","±231","891","±105","914","±140","8,886","±447","3,313","±390","3,052","±273","1,469","±211","2,872","±314","8,984","±482","1,530","±212","2,264","±222","4,218","±273","2,064","±269","15,006","±773","2,290","±224","941","±132","1,026","±185","1,525","±232","1,783","±199","1,007","±180","6,240","±470","1,375","±269","7,640","±607","2,151","±231","12,969,704","±28,124","419,028","±3,592"
"        5 to 17 years","23,592","±542","4,781","±398","25,512","±719","913,310","±4,674","87,853","±1,256","4,157","±246","15,651","±582","9,348","±373","6,883","±390","75,482","±1,174","43,056","±1,002","3,453","±434","6,939","±237","25,756","±543","7,150","±201","8,549","±340","3,677","±247","3,026","±148","33,563","±631","10,631","±605","11,412","±257","4,609","±285","10,866","±488","34,085","±723","6,108","±387","6,707","±576","13,835","±608","7,388","±346","51,252","±983","8,882","±406","3,855","±196","3,642","±236","5,967","±488","6,612","±255","3,793","±327","21,191","±674","5,751","±374","28,863","±995","8,381","±417","46,832,461","±59,184","1,575,455","±5,275"
