"","Albany, GA Metro Area","","Americus, GA Micro Area","","Athens-Clarke County, GA Metro Area","","Atlanta-Sandy Springs-Roswell, GA Metro Area","","Augusta-Richmond County, GA-SC Metro Area","","Bainbridge, GA Micro Area","","Brunswick, GA Metro Area","","Calhoun, GA Micro Area","","Cedartown, GA Micro Area","","Chattanooga, TN-GA Metro Area","","Columbus, GA-AL Metro Area","","Cordele, GA Micro Area","","Cornelia, GA Micro Area","","Dalton, GA Metro Area","","Douglas, GA Micro Area","","Dublin, GA Micro Area","","Eufaula, AL-GA Micro Area","","Fitzgerald, GA Micro Area","","Gainesville, GA Metro Area","","Hinesville, GA Metro Area","","Jefferson, GA Micro Area","","Jesup, GA Micro Area","","LaGrange, GA Micro Area","","Macon-Bibb County, GA Metro Area","","Milledgeville, GA Micro Area","","Moultrie, GA Micro Area","","Rome, GA Metro Area","","St. Marys, GA Micro Area","","Savannah, GA Metro Area","","Statesboro, GA Micro Area","","Summerville, GA Micro Area","","Thomaston, GA Micro Area","","Thomasville, GA Micro Area","","Tifton, GA Micro Area","","Toccoa, GA Micro Area","","Valdosta, GA Metro Area","","Vidalia, GA Micro Area","","Warner Robins, GA Metro Area","","Waycross, GA Micro Area","","United States","","Georgia",""
"        65 to 69 years","7,382","±373","1,684","±156","7,916","±475","223,885","±2,643","28,241","±902","1,178","±138","6,556","±482","2,492","±252","1,975","±267","29,815","±829","12,578","±458","1,205","±184","2,434","±212","5,799","±331","1,818","±208","3,043","±209","1,590","±131","832","±140","8,263","±462","2,178","±229","3,064","±249","1,335","±188","3,084","±236","11,088","±569","2,716","±225","2,190","±240","4,439","±320","2,051","±227","15,929","±533","2,535","±246","1,250","±161","1,444","±192","2,425","±235","1,591","±187","1,451","±221","5,380","±337","1,673","±219","7,618","±458","2,699","±272","14,915,887","±18,722","435,566","±3,559"
"        70 to 74 years","5,087","±315","1,556","±183","6,199","±433","153,559","±2,415","20,610","±881","1,091","±143","5,381","±467","1,992","±238","1,461","±237","20,863","±842","9,312","±459","829","±182","1,997","±234","4,942","±333","1,471","±222","2,061","±221","1,407","±137","661","±127","6,548","±436","1,738","±221","2,189","±266","1,208","±201","2,257","±220","7,877","±506","2,120","±222","1,461","±242","3,764","±337","1,608","±208","11,855","±542","2,035","±239","1,032","±140","1,143","±204","1,601","±221","1,556","±168","1,413","±213","4,167","±298","1,417","±180","5,563","±437","2,107","±247","10,891,806","±17,041","315,031","±2,937"
"        75 years and over","8,261","±170","2,054","±111","8,644","±249","214,744","±1,199","32,014","±387","1,757","±58","7,584","±263","2,915","±114","2,319","±141","36,751","±398","14,944","±250","1,524","±64","3,030","±124","7,182","±226","1,938","±120","3,762","±104","2,006","±106","996","±42","9,928","±219","1,984","±167","3,247","±151","1,611","±75","3,627","±100","13,382","±228","3,102","±134","2,487","±106","6,180","±132","1,877","±81","17,818","±437","2,888","±73","1,613","±84","1,830","±82","3,064","±66","2,230","±81","1,701","±116","6,594","±201","2,278","±110","9,072","±283","3,635","±201","18,796,226","±9,603","464,226","±1,583"
"    Moved within same county:","13,939","±1,178","4,619","±791","17,861","±1,448","420,013","±8,668","41,266","±2,554","1,922","±416","10,255","±1,259","4,098","±857","2,989","±787","39,806","±2,278","29,444","±1,962","2,670","±719","1,204","±344","8,655","±1,086","2,083","±454","4,460","±611","2,020","±452","1,005","±357","14,208","±1,556","8,523","±1,065","1,978","±406","2,778","±627","6,432","±1,043","19,291","±1,575","5,455","±870","4,826","±988","10,379","±1,374","5,352","±844","41,604","±2,735","9,897","±1,062","1,754","±443","2,831","±568","4,968","±867","2,199","±583","1,429","±477","13,697","±1,413","2,980","±829","15,821","±1,762","4,006","±773","26,717,038","±141,098","778,937","±11,078"
"        1 to 4 years","1,315","±286","460","±168","817","±237","30,000","±1,688","3,503","±496","68","±63","672","±292","436","±188","314","±167","2,925","±535","2,571","±439","393","±195","34","±24","575","±233","202","±164","509","±155","246","±104","86","±82","1,094","±236","1,021","±292","115","±73","127","±130","498","±304","1,645","±387","332","±163","397","±164","570","±206","553","±163","2,507","±439","578","±229","124","±78","197","±122","495","±215","119","±89","105","±97","1,135","±303","481","±255","1,292","±358","390","±168","1,986,282","±18,569","58,846","±2,122"
"        5 to 17 years","2,985","±514","1,274","±380","1,811","±447","82,917","±3,613","8,386","±987","494","±210","1,907","±487","774","±273","655","±294","7,220","±965","5,733","±784","495","±344","167","±136","1,613","±432","344","±150","963","±230","508","±232","176","±138","3,002","±598","2,148","±449","315","±152","485","±231","1,285","±425","4,037","±651","950","±270","1,526","±471","2,186","±554","855","±294","7,830","±960","1,289","±413","350","±154","512","±231","1,185","±395","577","±253","116","±72","2,210","±459","602","±325","3,230","±658","770","±325","4,521,666","±44,127","153,185","±3,894"
"        18 and 19 years","717","±247","105","±61","1,259","±290","14,998","±1,031","1,075","±287","30","±33","276","±130","42","±32","60","±38","1,617","±428","903","±221","87","±95","42","±30","194","±104","82","±66","135","±83","44","±30","60","±54","254","±100","314","±144","29","±23","165","±112","277","±96","610","±204","466","±227","111","±102","372","±203","95","±71","1,459","±298","1,254","±318","58","±35","47","±29","85","±54","81","±82","83","±48","268","±154","113","±101","295","±122","121","±100","876,985","±7,961","28,056","±1,271"
"        20 to 24 years","1,460","±265","850","±306","6,085","±720","48,190","±2,307","4,655","±722","91","±74","1,097","±264","435","±174","215","±109","5,154","±628","3,392","±499","228","±130","219","±152","775","±225","362","±163","409","±120","147","±68","64","±48","1,603","±309","1,015","±211","280","±118","375","±220","724","±165","2,426","±373","1,495","±363","426","±208","1,432","±336","978","±291","5,863","±538","3,442","±561","86","±55","504","±249","669","±210","142","±84","100","±88","3,985","±653","290","±147","1,923","±421","640","±255","3,702,951","±16,089","100,761","±3,593"
"        25 to 29 years","1,321","±300","469","±126","2,323","±407","52,363","±2,240","5,494","±738","174","±87","1,008","±236","739","±239","302","±170","5,180","±638","4,382","±609","350","±143","133","±71","1,119","±350","310","±136","496","±140","270","±94","175","±119","2,073","±419","1,322","±304","245","±109","120","±118","1,012","±309","2,365","±436","506","±177","456","±188","1,192","±354","694","±222","5,750","±625","1,082","±300","194","±116","388","±178","358","±160","159","±111","154","±153","1,759","±299","269","±126","2,940","±512","528","±228","3,513,375","±16,414","96,654","±3,011"
"        30 to 34 years","1,275","±272","404","±179","1,317","±290","42,679","±1,540","3,527","±463","333","±126","828","±274","210","±103","325","±169","3,575","±508","2,615","±506","145","±103","74","±54","1,020","±334","100","±62","447","±143","196","±100","51","±50","1,298","±295","955","±216","211","±111","414","±170","498","±219","2,056","±444","191","±100","506","±187","870","±236","557","±185","3,696","±568","631","±180","201","±90","152","±77","340","±138","368","±162","129","±116","1,202","±283","208","±142","1,372","±309","232","±120","2,612,839","±17,634","74,462","±2,312"
"        35 to 39 years","1,293","±269","273","±131","896","±268","34,611","±1,564","2,981","±475","296","±150","855","±300","382","±195","192","±115","2,947","±373","1,808","±352","238","±171","92","±80","615","±233","37","±35","331","±123","127","±68","51","±59","1,015","±272","618","±180","168","±96","155","±93","462","±210","1,095","±265","206","±121","332","±130","795","±257","449","±136","3,458","±462","454","±129","108","±87","106","±68","482","±195","93","±49","41","±40","549","±197","148","±118","1,044","±349","396","±163","1,925,752","±17,137","59,189","±2,137"
"        40 to 44 years","843","±198","137","±92","749","±320","28,724","±1,576","2,206","±361","164","±107","781","±219","256","±169","117","±84","1,945","±360","1,725","±292","116","±81","38","±26","431","±158","134","±85","272","±110","90","±55","41","±50","755","±214","347","±132","180","±121","277","±147","438","±148","1,002","±238","253","±138","316","±173","727","±272","182","±106","1,851","±414","325","±138","124","±93","141","±84","310","±181","191","±112","102","±75","605","±218","144","±97","920","±394","105","±63","1,544,655","±15,302","47,924","±1,827"
"        45 to 49 years","507","±171","76","±64","605","±176","22,425","±1,096","1,876","±365","66","±67","534","±162","176","±101","108","±85","2,091","±368","1,152","±234","155","±98","72","±51","616","±195","93","±64","203","±98","109","±67","65","±61","659","±185","149","±93","96","±73","127","±86","234","±105","803","±218","501","±221","195","±106","578","±185","249","±181","2,141","±503","125","±86","106","±65","271","±183","220","±97","138","±79","155","±157","324","±158","116","±89","659","±224","112","±83","1,324,907","±11,877","37,744","±1,457"
"        50 to 54 years","519","±143","160","±98","537","±176","19,939","±1,217","1,865","±342","19","±29","666","±220","248","±171","132","±95","1,967","±334","1,723","±324","81","±60","62","±62","524","±171","143","±90","141","±59","67","±38","23","±20","754","±272","261","±112","43","±39","151","±99","266","±135","933","±217","184","±118","73","±49","344","±127","153","±85","2,039","±298","212","±98","122","±95","94","±64","234","±108","83","±55","85","±66","484","±184","184","±109","739","±280","219","±119","1,198,253","±11,951","35,838","±1,767"
"        55 to 59 years","453","±135","41","±33","388","±103","14,719","±1,207","1,908","±394","54","±36","470","±150","134","±93","123","±97","1,649","±279","1,092","±218","171","±146","20","±15","223","±127","91","±76","152","±68","46","±29","43","±49","640","±250","64","±35","40","±32","135","±81","182","±94","550","±168","151","±99","174","±104","382","±128","193","±105","2,034","±467","138","±75","53","±52","177","±100","212","±133","31","±36","99","±83","298","±109","144","±93","530","±261","138","±80","994,355","±9,954","27,748","±1,495"
"        60 to 64 years","448","±139","120","±63","341","±108","10,620","±844","1,175","±291","30","±31","295","±119","113","±55","90","±55","1,170","±255","802","±199","41","±39","56","±40","467","±177","46","±38","120","±73","35","±22","27","±45","280","±118","108","±80","12","±19","75","±53","132","±83","495","±147","92","±62","131","±81","326","±117","124","±87","1,034","±287","163","±107","77","±57","35","±25","135","±85","49","±48","184","±88","196","±83","154","±112","224","±133","100","±78","768,994","±7,038","20,244","±988"
"        65 to 69 years","235","±125","65","±49","276","±134","6,331","±742","901","±234","39","±33","291","±137","62","±56","127","±82","644","±143","504","±137","51","±56","51","±44","157","±78","46","±49","80","±46","36","±31","59","±58","287","±125","87","±52","150","±92","85","±74","124","±74","612","±191","41","±41","33","±24","143","±55","111","±75","706","±200","41","±35","25","±27","54","±39","125","±66","74","±45","12","±16","271","±102","13","±16","157","±92","75","±50","520,823","±5,615","13,521","±999"
"        70 to 74 years","190","±89","58","±45","65","±45","4,532","±671","601","±199","12","±19","159","±95","28","±37","95","±63","476","±156","383","±143","61","±91","56","±45","177","±92","44","±51","40","±28","34","±27","24","±26","188","±111","59","±42","18","±22","16","±25","122","±86","275","±133","30","±33","41","±55","144","±71","102","±94","329","±123","103","±79","49","±47","99","±96","31","±30","45","±38","56","±45","124","±84","78","±71","230","±128","45","±42","366,643","±3,950","9,298","±831"
"        75 years and over","378","±128","127","±61","392","±136","6,965","±660","1,113","±269","52","±39","416","±204","63","±58","134","±103","1,246","±261","659","±166","58","±43","88","±64","149","±80","49","±66","162","±79","65","±36","60","±29","306","±111","55","±39","76","±51","71","±59","178","±76","387","±120","57","±36","109","±92","318","±108","57","±54","907","±237","60","±38","77","±57","54","±39","87","±56","49","±34","8","±13","287","±128","36","±27","266","±143","135","±101","858,558","±6,352","15,467","±831"
"    Moved from different county within same state:","7,707","±1,003","2,000","±339","18,452","±1,274","269,635","±6,761","15,820","±1,394","872","±265","5,582","±1,033","2,149","±601","1,832","±655","12,393","±1,174","11,447","±1,253","1,225","±347","1,992","±367","3,496","±751","1,286","±267","1,434","±281","953","±214","385","±180","7,468","±926","5,502","±937","2,519","±500","759","±305","2,461","±508","11,270","±1,093","4,679","±748","1,392","±372","3,509","±531","1,837","±624","15,166","±1,268","7,405","±922","453","±173","714","±238","1,826","±525","986","±299","1,168","±488","5,627","±779","1,807","±409","8,098","±1,276","2,192","±564","10,247,779","±46,126","468,374","±7,815"
"        1 to 4 years","346","±177","98","±77","347","±122","19,212","±1,502","989","±310","31","±39","373","±188","162","±135","37","±53","669","±205","738","±234","98","±86","111","±63","321","±152","77","±80","81","±60","24","±29","11","±22","446","±191","674","±215","295","±145","38","±44","95","±73","780","±248","99","±78","15","±16","160","±110","130","±106","902","±364","370","±195","32","±32","25","±24","74","±56","64","±70","60","±66","207","±111","71","±49","546","±229","224","±156","590,823","±8,360","30,594","±1,746"
"        5 to 17 years","916","±267","213","±83","1,708","±541","38,498","±2,351","2,071","±525","129","±131","1,115","±357","385","±185","420","±237","1,640","±522","1,532","±414","231","±115","167","±93","394","±160","101","±76","197","±124","64","±48","31","±37","731","±270","1,171","±351","348","±174","81","±111","348","±185","1,615","±368","421","±216","248","±206","465","±200","227","±174","1,586","±380","416","±227","43","±35","97","±83","408","±215","32","±38","293","±219","447","±203","385","±201","1,489","±562","360","±238","1,208,487","±15,710","64,131","±2,953"
"        18 and 19 years","852","±191","403","±127","6,962","±510","12,303","±1,059","1,057","±275","5","±9","196","±104","57","±58","28","±41","1,518","±314","904","±252","37","±34","209","±108","92","±53","109","±50","42","±33","15","±17","0","±20","247","±99","149","±102","128","±71","13","±20","104","±60","819","±241","1,294","±225","25","±30","379","±151","107","±81","1,996","±332","3,870","±426","32","±35","15","±18","46","±37","242","±157","92","±47","827","±219","157","±68","674","±188","15","±23","872,357","±5,966","36,423","±1,495"
"        20 to 24 years","1,326","±284","443","±147","3,861","±535","37,363","±1,695","2,465","±440","144","±74","744","±214","249","±122","204","±143","1,846","±273","1,910","±360","158","±111","302","±101","543","±237","130","±70","150","±78","249","±113","39","±58","1,142","±259","955","±305","214","±94","103","±58","358","±143","1,315","±296","936","±300","221","±113","651","±203","449","±188","2,147","±354","1,630","±431","93","±83","73","±62","345","±201","156","±92","108","±86","1,666","±316","246","±112","972","±293","330","±109","1,674,458","±10,451","68,271","±2,380"
"        25 to 29 years","1,138","±365","211","±78","1,265","±233","40,698","±1,963","2,297","±422","94","±47","470","±166","486","±231","147","±141","1,790","±342","1,675","±303","135","±78","134","±71","601","±227","283","±137","211","±81","159","±66","63","±51","1,018","±270","817","±216","398","±127","46","±49","404","±164","1,400","±295","568","±198","287","±135","452","±175","471","±262","2,394","±495","316","±109","45","±34","119","±67","217","±125","75","±60","313","±228","849","±239","191","±116","737","±304","317","±110","1,453,819","±9,908","66,042","±2,558"
"        30 to 34 years","663","±218","197","±80","875","±264","28,150","±1,295","1,271","±229","140","±57","706","±294","242","±137","117","±103","964","±257","951","±222","166","±131","135","±72","221","±101","92","±63","126","±68","113","±54","63","±68","744","±208","320","±191","340","±146","44","±42","239","±103","821","±202","227","±78","52","±44","239","±126","147","±102","1,702","±341","182","±109","39","±27","38","±44","192","±109","58","±40","11","±19","312","±135","127","±74","1,098","±320","234","±118","993,411","±8,724","44,742","±1,634"
"        35 to 39 years","544","±184","91","±42","851","±258","21,132","±1,511","1,217","±309","138","±73","423","±224","146","±84","74","±61","690","±271","906","±242","97","±89","127","±68","204","±102","77","±36","56","±34","120","±56","15","±15","387","±134","226","±109","129","±76","85","±79","223","±132","889","±256","379","±213","77","±59","300","±115","91","±86","960","±286","170","±98","5","±9","58","±52","96","±88","15","±20","89","±91","125","±75","172","±90","778","±321","82","±39","694,109","±8,080","34,706","±1,786"
"        40 to 44 years","562","±204","49","±42","441","±176","15,713","±1,214","944","±311","65","±42","228","±125","77","±69","265","±175","392","±160","717","±253","49","±38","147","±77","285","±127","162","±87","105","±84","58","±30","40","±50","547","±158","264","±115","41","±29","92","±81","222","±121","624","±195","152","±104","45","±35","154","±63","14","±23","722","±166","52","±45","24","±24","78","±80","81","±77","61","±55","22","±38","251","±110","153","±95","335","±156","106","±48","535,150","±6,903","25,663","±1,330"
"        45 to 49 years","386","±147","92","±86","517","±194","14,565","±1,024","743","±201","40","±36","238","±126","83","±70","190","±132","684","±242","662","±178","58","±82","231","±109","210","±93","99","±61","42","±30","18","±17","0","±20","488","±158","197","±98","86","±52","64","±56","88","±78","410","±145","90","±52","41","±40","191","±96","9","±8","793","±229","105","±101","35","±36","38","±36","136","±101","76","±52","11","±16","182","±105","56","±50","250","±111","59","±42","470,832","±6,130","23,567","±1,264"
"        50 to 54 years","207","±97","44","±46","311","±115","12,515","±1,082","792","±209","38","±37","206","±160","89","±92","122","±104","549","±199","321","±144","81","±81","156","±92","164","±118","97","±90","123","±83","44","±35","19","±21","589","±155","367","±192","47","±37","42","±30","85","±60","653","±206","199","±115","114","±96","173","±76","42","±55","388","±122","118","±67","27","±28","93","±55","81","±64","64","±63","90","±87","172","±94","91","±60","289","±161","97","±61","440,967","±5,233","21,454","±1,400"
"        55 to 59 years","294","±109","65","±42","517","±181","9,787","±914","605","±173","39","±42","295","±159","80","±64","81","±69","538","±163","264","±91","35","±52","93","±60","129","±73","30","±31","57","±33","10","±13","17","±20","336","±103","136","±98","147","±73","79","±51","115","±65","546","±178","74","±59","79","±55","113","±66","41","±40","558","±172","33","±37","42","±34","29","±28","52","±58","56","±55","0","±24","287","±115","82","±57","357","±172","132","±83","375,832","±4,830","17,585","±1,133"
"        60 to 64 years","174","±81","43","±47","251","±109","7,231","±652","351","±132","5","±7","108","±66","45","±38","90","±101","340","±136","319","±127","71","±69","52","±39","46","±36","20","±20","80","±43","18","±23","0","±20","280","±133","30","±27","142","±78","44","±37","87","±70","292","±111","33","±30","42","±37","60","±49","65","±66","311","±130","46","±47","5","±7","26","±31","28","±40","44","±36","58","±64","47","±32","28","±32","284","±152","33","±28","299,141","±3,528","12,003","±827"
"        65 to 69 years","132","±93","12","±14","197","±86","4,630","±611","483","±176","0","±24","159","±95","9","±13","57","±70","294","±133","158","±70","0","±24","46","±38","154","±99","9","±16","49","±49","1","±2","38","±33","200","±123","32","±22","127","±75","3","±6","8","±14","329","±135","67","±64","56","±35","76","±71","10","±15","245","±121","21","±33","0","±24","0","±24","44","±57","24","±23","20","±24","119","±72","4","±7","179","±86","48","±34","211,268","±3,139","8,762","±847"
"        70 to 74 years","42","±32","7","±13","99","±57","2,575","±380","203","±94","0","±24","130","±86","16","±21","0","±27","172","±80","133","±73","0","±24","4","±6","38","±35","0","±27","38","±35","11","±12","17","±20","174","±76","47","±50","31","±30","9","±18","28","±29","324","±187","41","±45","44","±70","29","±30","0","±30","182","±103","46","±42","19","±24","0","±24","15","±24","0","±27","0","±24","49","±43","15","±17","21","±19","95","±86","138,858","±2,385","5,101","±534"
"        75 years and over","125","±69","32","±42","250","±123","5,263","±609","332","±118","4","±9","191","±132","23","±24","0","±27","307","±123","257","±104","9","±13","78","±69","94","±49","0","±27","77","±40","49","±33","32","±29","139","±67","117","±99","46","±40","16","±29","57","±42","453","±164","99","±55","46","±46","67","±47","34","±41","280","±149","30","±28","12","±17","25","±22","11","±14","19","±29","1","±3","87","±48","29","±27","89","±69","60","±40","288,267","±4,310","9,330","±743"
"    Moved from different state:","2,746","±658","259","±137","5,175","±625","153,947","±5,472","20,449","±1,820","552","±235","3,003","±631","892","±433","404","±173","16,577","±1,540","22,484","±1,536","210","±105","611","±238","2,551","±805","673","±345","1,202","±437","447","±160","121","±69","3,507","±657","6,921","±818","810","±322","988","±358","1,687","±511","2,791","±553","510","±197","1,721","±558","1,760","±440","3,676","±643","18,076","±2,023","1,212","±338","272","±138","232","±121","1,386","±427","328","±154","394","±242","5,471","±921","572","±301","5,118","±1,067","987","±361","7,354,769","±34,903","279,810","±7,273"
"        1 to 4 years","250","±152","7","±12","265","±135","10,114","±968","1,206","±267","85","±80","136","±89","93","±122","0","±27","1,119","±293","1,640","±333","12","±22","19","±32","260","±212","61","±67","201","±120","51","±37","0","±20","140","±99","998","±213","102","±92","121","±142","73","±59","227","±163","0","±30","95","±104","52","±49","262","±99","1,044","±310","81","±67","46","±60","6","±11","63","±67","0","±27","15","±26","519","±200","90","±110","317","±260","81","±66","438,814","±5,409","18,700","±1,308"
"        5 to 17 years","386","±220","52","±51","536","±250","24,525","±1,963","2,918","±542","77","±70","567","±201","172","±138","26","±33","1,964","±436","3,060","±502","10","±17","116","±138","443","±324","93","±101","304","±203","104","±68","0","±20","395","±196","1,025","±287","66","±50","78","±83","351","±199","369","±177","83","±123","432","±225","175","±129","454","±197","2,301","±553","94","±55","27","±39","0","±24","386","±198","44","±54","88","±116","709","±357","93","±69","896","±457","263","±169","892,947","±11,535","41,480","±2,477"
"        18 and 19 years","67","±42","20","±24","682","±198","5,513","±734","1,351","±252","23","±33","83","±62","5","±10","37","±52","892","±308","2,302","±306","0","±24","63","±46","80","±48","34","±30","23","±32","19","±18","0","±20","112","±50","294","±121","21","±20","18","±24","14","±16","292","±135","108","±78","88","±90","194","±88","273","±89","1,369","±274","116","±66","1","±3","0","±24","31","±43","29","±28","26","±33","408","±256","1","±2","278","±128","0","±30","531,365","±4,368","14,440","±1,110"
"        20 to 24 years","542","±241","47","±52","960","±219","19,044","±1,384","2,791","±484","74","±76","175","±96","176","±138","21","±36","2,109","±314","4,654","±654","36","±30","15","±17","348","±172","11","±21","27","±33","25","±37","9","±15","571","±266","1,509","±313","60","±47","80","±86","301","±146","326","±133","44","±35","124","±117","319","±179","795","±197","2,398","±410","173","±139","44","±35","20","±22","65","±50","36","±44","29","±25","1,103","±303","86","±70","956","±351","68","±53","1,090,933","±8,551","39,058","±1,820"
"        25 to 29 years","358","±163","17","±28","865","±212","19,315","±1,178","2,705","±453","63","±49","280","±149","113","±100","13","±24","2,346","±458","3,650","±462","0","±24","81","±72","362","±179","0","±27","83","±53","27","±24","0","±20","339","±153","964","±206","104","±90","216","±115","191","±89","159","±67","75","±70","233","±151","142","±79","615","±213","2,899","±487","33","±31","27","±32","16","±20","307","±173","39","±40","16","±31","849","±233","81","±95","381","±162","31","±32","1,044,165","±9,455","36,040","±1,788"
"        30 to 34 years","115","±90","42","±48","383","±148","16,901","±1,095","2,047","±392","67","±53","387","±145","69","±80","34","±37","1,508","±281","2,554","±441","5","±10","15","±17","120","±97","130","±103","59","±49","41","±36","28","±28","344","±139","650","±192","16","±19","71","±73","215","±147","169","±83","24","±26","2","±16","176","±116","207","±139","1,876","±405","191","±126","23","±24","18","±22","111","±88","6","±18","70","±77","368","±156","25","±26","282","±138","85","±100","726,553","±7,019","28,012","±1,419"
"        35 to 39 years","141","±69","19","±21","252","±136","12,580","±1,176","1,583","±371","25","±20","264","±180","73","±56","89","±98","1,143","±306","1,037","±254","0","±24","23","±23","291","±154","43","±45","71","±88","46","±37","0","±20","191","±105","250","±115","156","±130","57","±43","120","±95","142","±101","32","±36","236","±161","138","±105","231","±124","1,194","±321","80","±69","6","±11","67","±95","149","±110","11","±17","53","±62","244","±98","8","±15","479","±233","150","±133","501,913","±6,617","20,814","±1,426"
"        40 to 44 years","89","±57","0","±27","224","±139","9,423","±835","1,458","±402","36","±38","67","±49","37","±45","0","±27","875","±241","1,030","±299","0","±24","82","±89","129","±105","96","±79","68","±48","5","±10","24","±27","199","±111","305","±137","40","±32","91","±55","124","±82","258","±103","48","±47","120","±81","67","±48","174","±125","611","±178","43","±47","0","±24","0","±24","49","±48","0","±27","21","±34","343","±143","34","±43","358","±173","15","±23","381,712","±5,673","15,790","±942"
"        45 to 49 years","94","±62","15","±23","132","±63","8,024","±895","966","±279","2","±3","94","±75","41","±50","10","±18","1,039","±284","568","±162","4","±7","25","±29","99","±85","5","±11","69","±88","33","±27","25","±40","126","±81","312","±167","25","±25","52","±42","26","±29","280","±146","0","±30","147","±92","71","±72","59","±49","713","±216","88","±66","17","±25","10","±16","128","±96","35","±42","0","±24","211","±147","84","±82","154","±80","157","±96","321,897","±4,837","13,495","±1,031"
"        50 to 54 years","158","±100","0","±27","121","±61","7,627","±766","741","±232","0","±24","326","±155","7","±13","35","±38","725","±190","541","±180","14","±22","29","±44","113","±105","13","±21","64","±53","22","±18","0","±20","339","±145","133","±76","19","±17","70","±40","126","±99","74","±52","0","±30","40","±43","93","±68","167","±92","892","±239","184","±111","19","±22","9","±15","0","±27","13","±21","16","±31","150","±108","16","±16","195","±110","4","±8","305,273","±4,778","12,862","±902"
"        55 to 59 years","95","±58","3","±7","110","±63","5,876","±707","757","±207","26","±31","152","±103","0","±30","27","±29","695","±214","552","±236","8","±13","0","±27","67","±46","0","±27","74","±53","14","±12","12","±20","141","±87","94","±63","49","±42","68","±68","20","±27","65","±40","0","±30","77","±56","95","±52","99","±63","770","±298","34","±30","0","±24","17","±19","15","±21","61","±83","24","±38","207","±125","36","±33","187","±134","2","±5","289,016","±4,828","10,158","±938"
"        60 to 64 years","186","±110","24","±40","225","±114","4,761","±609","706","±167","12","±19","197","±112","42","±60","0","±27","735","±219","438","±121","17","±17","55","±52","84","±52","0","±27","65","±58","0","±21","12","±20","125","±86","304","±200","30","±46","21","±38","16","±26","57","±45","31","±38","93","±76","86","±64","76","±63","697","±299","28","±30","5","±7","66","±51","0","±27","0","±27","0","±24","124","±70","0","±27","184","±155","50","±65","262,157","±4,507","9,262","±924"
"        65 to 69 years","110","±94","5","±7","145","±76","3,936","±449","486","±182","45","±65","98","±81","24","±30","84","±81","521","±150","172","±104","26","±20","41","±38","81","±59","134","±154","66","±66","36","±40","0","±20","77","±54","18","±26","24","±26","10","±18","73","±70","230","±198","9","±17","25","±32","63","±45","157","±97","522","±230","39","±40","57","±51","3","±5","52","±70","10","±16","10","±17","83","±74","5","±8","106","±76","0","±30","212,805","±3,766","7,666","±726"
"        70 to 74 years","69","±53","0","±27","64","±58","2,335","±509","348","±143","17","±26","79","±65","40","±57","28","±46","374","±132","64","±39","55","±75","10","±16","29","±43","2","±4","0","±30","17","±20","0","±20","160","±110","57","±71","36","±25","35","±55","22","±24","37","±29","0","±30","0","±27","31","±21","44","±33","189","±92","7","±9","0","±24","0","±24","27","±31","21","±37","26","±29","66","±48","13","±20","136","±93","33","±38","134,148","±2,948","4,535","±619"
"        75 years and over","86","±59","8","±14","211","±101","3,973","±473","386","±154","0","±24","98","±79","0","±30","0","±27","532","±188","222","±103","23","±38","37","±43","45","±40","51","±49","28","±24","7","±10","11","±17","248","±133","8","±13","62","±62","0","±24","15","±19","106","±61","56","±75","9","±15","58","±49","63","±46","601","±410","21","±30","0","±24","0","±24","3","±4","23","±39","0","±24","87","±61","0","±27","209","±126","48","±46","221,071","±3,490","7,498","±793"
"    Moved from abroad:","180","±78","55","±46","1,068","±301","38,134","±2,447","3,594","±760","29","±36","259","±177","154","±137","58","±63","1,226","±300","2,264","±560","41","±33","146","±216","233","±111","103","±86","93","±57","41","±36","28","±33","409","±157","1,658","±312","145","±90","123","±94","285","±152","585","±301","116","±61","100","±69","142","±92","320","±186","2,769","±521","134","±77","18","±14","0","±24","158","±124","174","±106","213","±147","1,064","±321","45","±55","845","±385","11","±18","2,074,097","±16,486","57,424","±2,821"
"        1 to 4 years","0","±30","0","±27","52","±66","2,583","±536","421","±199","0","±24","0","±30","0","±30","0","±27","47","±41","182","±134","0","±24","16","±35","27","±31","0","±27","6","±8","0","±21","0","±20","15","±26","35","±38","0","±30","0","±24","15","±24","15","±22","0","±30","0","±27","20","±23","24","±37","197","±117","0","±30","0","±24","0","±24","9","±16","0","±27","12","±19","56","±52","0","±27","72","±68","0","±30","112,040","±2,519","3,743","±624"
"        5 to 17 years","36","±44","1","±3","121","±82","5,501","±703","565","±252","11","±22","50","±72","26","±44","18","±28","96","±68","212","±92","0","±24","57","±93","15","±17","7","±12","0","±30","10","±16","0","±20","43","±60","204","±104","0","±30","19","±34","40","±39","65","±61","0","±30","3","±17","46","±51","113","±126","160","±103","12","±14","0","±24","0","±24","26","±55","9","±15","30","±48","20","±26","0","±27","51","±70","0","±30","292,203","±5,483","7,524","±823"
"        18 and 19 years","23","±27","0","±27","29","±29","1,840","±332","79","±56","0","±24","0","±30","0","±30","12","±22","32","±27","20","±22","0","±24","12","±20","10","±16","0","±27","0","±30","0","±21","0","±20","54","±55","4","±8","0","±30","23","±38","0","±30","31","±30","0","±30","0","±27","6","±11","0","±30","292","±129","22","±29","0","±24","0","±24","0","±27","0","±27","6","±13","14","±22","0","±27","28","±34","0","±30","99,050","±2,395","2,639","±379"
