table with row headers in column A and column headers in rows 3 through 4 (leading dots indicate sub-parts),,,
"Annual Estimates of the Resident Population for Counties in Georgia: April 1, 2020 to July 1, 2021",,,
Geographic Area,"April 1, 2020 Estimates Base",Population Estimate (as of July 1),
".Rockdale County, Georgia","93,570","93,614","94,082"
".Schley County, Georgia","4,547","4,538","4,478"
".Screven County, Georgia","14,067","14,060","14,105"
".Seminole County, Georgia","9,147","9,138","9,197"
".Spalding County, Georgia","67,306","67,413","67,909"
".Stephens County, Georgia","26,784","26,800","26,865"
".Stewart County, Georgia","5,314","5,295","5,341"
".Sumter County, Georgia","29,616","29,553","29,283"
".Talbot County, Georgia","5,733","5,731","5,742"
".Taliaferro County, Georgia","1,559","1,557","1,558"
".Tattnall County, Georgia","22,842","22,852","23,052"
".Taylor County, Georgia","7,816","7,814","7,799"
".Telfair County, Georgia","12,477","12,461","12,414"
".Terrell County, Georgia","9,185","9,153","8,964"
".Thomas County, Georgia","45,798","45,766","45,842"
".Tift County, Georgia","41,344","41,348","41,212"
".Toombs County, Georgia","27,030","27,052","26,911"
".Towns County, Georgia","12,493","12,539","12,875"
".Treutlen County, Georgia","6,406","6,390","6,306"
".Troup County, Georgia","69,426","69,388","69,720"
".Turner County, Georgia","9,006","8,971","8,966"
".Twiggs County, Georgia","8,022","7,986","7,856"
".Union County, Georgia","24,632","24,766","25,521"
".Upson County, Georgia","27,700","27,712","27,720"
".Walker County, Georgia","67,654","67,711","68,510"
".Walton County, Georgia","96,673","97,135","99,853"
".Ware County, Georgia","36,251","36,218","36,033"
".Warren County, Georgia","5,215","5,205","5,240"
".Washington County, Georgia","19,988","19,927","19,785"
".Wayne County, Georgia","30,144","30,155","30,380"
".Webster County, Georgia","2,348","2,350","2,367"
".Wheeler County, Georgia","7,471","7,430","7,471"
".White County, Georgia","28,003","28,090","28,442"
".Whitfield County, Georgia","102,864","102,727","102,848"
".Wilcox County, Georgia","8,766","8,731","8,739"
".Wilkes County, Georgia","9,565","9,556","9,513"
".Wilkinson County, Georgia","8,877","8,844","8,831"
".Worth County, Georgia","20,784","20,719","20,554"
"Note: The estimates are developed from a base that incorporates the 2020 Census, Vintage 2020 estimates, and 2020 Demographic Analysis estimates.  For population estimates methodology statements, see http://www.census.gov/programs-surveys/popest/technical-documentation/methodology.html. The estimates feature geographic boundaries from the Vintage 2020 estimates series; the geographic boundaries for these 2021 population estimates are as of January 1, 2020. ",,,
Suggested Citation:,,,
"Annual Estimates of the Resident Population for Counties in Georgia: April 1, 2020 to July 1, 2021
(CO-EST2021-POP-13)",,,
"Source: U.S. Census Bureau, Population Division",,,
Release Date: March 2022,,,
