"","United States","","Georgia","","Atlanta-Sandy Springs-Alpharetta, GA Metro Area","","Savannah, GA Metro Area",""
"Label (Grouping)","United States!!Estimate","United States!!Margin of Error","Georgia!!Estimate","Georgia!!Margin of Error","Atlanta-Sandy Springs-Alpharetta, GA Metro Area!!Estimate","Atlanta-Sandy Springs-Alpharetta, GA Metro Area!!Margin of Error","Savannah, GA Metro Area!!Estimate","Savannah, GA Metro Area!!Margin of Error"
"        1 to 4 years","435,295","±6,056","19,419","±1,458","10,580","±1,140","1,206","±380"
"        5 to 17 years","885,687","±10,876","41,792","±2,484","25,378","±2,167","1,905","±458"
"        18 and 19 years","536,853","±5,162","13,259","±1,044","4,426","±540","1,345","±298"
"        20 to 24 years","1,076,503","±9,962","38,885","±1,716","19,288","±1,463","2,437","±486"
"        25 to 29 years","1,064,480","±9,955","37,902","±1,818","21,325","±1,311","2,769","±557"
"        30 to 34 years","748,664","±7,561","27,810","±1,437","16,976","±1,192","1,494","±343"
"        35 to 39 years","523,572","±7,102","20,123","±1,273","12,519","±962","1,323","±377"
"        40 to 44 years","377,003","±5,866","15,685","±1,042","9,196","±875","739","±204"
"        45 to 49 years","320,996","±5,164","14,212","±1,391","8,057","±1,102","821","±243"
"        50 to 54 years","307,528","±5,105","12,528","±875","7,666","±694","832","±257"
"        55 to 59 years","298,118","±4,393","10,771","±918","6,596","±781","636","±255"
"        60 to 64 years","278,147","±3,598","9,516","±808","4,685","±628","709","±269"
"        65 to 69 years","231,984","±4,097","8,291","±745","3,998","±509","574","±229"
"        70 to 74 years","152,779","±3,226","4,844","±515","2,547","±466","259","±106"
"        75 years and over","237,429","±3,503","7,918","±737","4,678","±620","372","±147"
"    Moved from abroad:","2,063,988","±17,801","57,267","±2,940","38,912","±2,437","2,768","±668"
"        1 to 4 years","111,065","±2,959","3,928","±644","2,922","±583","103","±71"
"        5 to 17 years","299,579","±6,006","7,525","±868","5,614","±820","224","±131"
"        18 and 19 years","99,051","±2,705","2,196","±356","1,456","±294","178","±86"
"        20 to 24 years","271,719","±5,253","5,887","±600","3,263","±473","602","±177"
"        25 to 29 years","272,904","±4,582","7,573","±875","5,110","±735","373","±185"
"        30 to 34 years","218,235","±4,925","7,177","±806","4,969","±672","348","±202"
"        35 to 39 years","158,783","±3,522","4,563","±562","3,104","±434","119","±78"
"        40 to 44 years","120,654","±3,708","3,671","±513","2,468","±439","126","±77"
"        45 to 49 years","95,195","±2,875","2,363","±358","1,569","±302","115","±118"
"        50 to 54 years","80,328","±2,378","2,659","±435","1,833","±402","169","±139"
"        55 to 59 years","78,104","±2,271","2,152","±411","1,519","±361","93","±67"
"        60 to 64 years","78,136","±2,157","2,782","±632","2,006","±530","177","±151"
"        65 to 69 years","65,802","±1,637","1,800","±375","1,169","±351","114","±123"
"        70 to 74 years","46,498","±1,517","1,177","±277","907","±252","5","±8"
"        75 years and over","67,935","±1,967","1,814","±349","1,003","±264","22","±28"
