"","Albany, GA Metro Area","","Americus, GA Micro Area","","Athens-Clarke County, GA Metro Area","","Atlanta-Sandy Springs-Alpharetta, GA Metro Area","","Augusta-Richmond County, GA-SC Metro Area","","Bainbridge, GA Micro Area","","Brunswick, GA Metro Area","","Calhoun, GA Micro Area","","Cedartown, GA Micro Area","","Chattanooga, TN-GA Metro Area","","Columbus, GA-AL Metro Area","","Cordele, GA Micro Area","","Cornelia, GA Micro Area","","Dalton, GA Metro Area","","Douglas, GA Micro Area","","Dublin, GA Micro Area","","Eufaula, AL-GA Micro Area","","Fitzgerald, GA Micro Area","","Gainesville, GA Metro Area","","Hinesville, GA Metro Area","","Jefferson, GA Micro Area","","Jesup, GA Micro Area","","LaGrange, GA-AL Micro Area","","Macon-Bibb County, GA Metro Area","","Milledgeville, GA Micro Area","","Moultrie, GA Micro Area","","Rome, GA Metro Area","","St. Marys, GA Micro Area","","Savannah, GA Metro Area","","Statesboro, GA Micro Area","","Summerville, GA Micro Area","","Thomaston, GA Micro Area","","Thomasville, GA Micro Area","","Tifton, GA Micro Area","","Toccoa, GA Micro Area","","Valdosta, GA Metro Area","","Vidalia, GA Micro Area","","Warner Robins, GA Metro Area","","Waycross, GA Micro Area","","United States","","Georgia",""
"    45 to 49 years","8,722","±185","2,102","±114","11,897","±308","430,242","±741","35,974","±296","1,682","±55","7,647","±211","4,198","±218","2,725","±197","36,255","±289","18,897","±300","1,196","±205","3,013","±180","9,822","±132","3,402","±202","3,914","±181","1,734","±63","1,052","±168","13,681","±104","3,953","±263","4,979","±260","2,189","±155","6,579","±154","14,306","±289","3,204","±163","2,816","±93","6,162","±98","2,952","±104","23,132","±244","3,934","±128","1,607","±77","1,702","±50","2,785","±63","2,325","±129","1,832","±110","7,808","±280","2,168","±146","11,194","±209","3,601","±210","20,727,770","±6,816","709,614","±1,381"
"    50 to 54 years","9,160","±109","2,080","±94","10,992","±178","409,155","±584","38,501","±281","1,773","±48","7,738","±206","4,131","±187","2,611","±199","37,007","±251","19,811","±205","1,495","±54","2,783","±128","9,731","±131","3,367","±145","4,184","±158","1,783","±70","1,172","±153","13,105","±99","4,010","±268","4,801","±271","1,874","±129","6,930","±148","14,941","±244","3,360","±169","2,911","±109","6,310","±118","3,124","±82","23,447","±188","3,951","±99","1,620","±75","1,850","±47","3,036","±88","2,359","±87","1,590","±90","8,280","±232","2,261","±134","12,118","±283","3,768","±226","21,344,850","±5,613","697,514","±1,388"
"    55 to 59 years","9,403","±545","2,075","±240","11,373","±574","373,829","±3,665","39,619","±1,019","1,972","±184","8,638","±545","3,655","±335","2,510","±281","37,120","±1,046","20,086","±698","1,602","±194","2,802","±291","8,801","±441","3,195","±334","4,591","±303","1,756","±186","1,224","±146","12,269","±511","4,152","±363","4,128","±351","1,893","±214","7,376","±484","15,527","±640","3,574","±326","2,887","±320","6,193","±380","3,551","±278","24,635","±843","3,758","±325","1,643","±204","1,915","±207","3,075","±329","2,739","±233","1,901","±231","8,024","±525","2,243","±227","12,421","±703","3,422","±351","21,654,255","±22,584","666,857","±4,886"
"    60 to 64 years","9,504","±558","2,170","±255","10,904","±620","316,923","±3,660","39,549","±979","1,476","±183","8,140","±530","3,521","±329","2,694","±263","38,247","±1,010","18,846","±724","1,514","±191","2,756","±316","7,783","±465","2,716","±333","3,762","±288","1,921","±195","1,139","±137","10,757","±525","3,552","±394","3,947","±337","1,798","±224","6,105","±452","15,405","±637","3,496","±337","2,346","±353","5,993","±393","2,758","±268","21,072","±852","3,819","±328","1,607","±203","1,797","±209","3,029","±334","2,195","±224","1,510","±237","7,670","±523","2,276","±248","9,837","±670","3,613","±333","20,102,159","±22,608","592,901","±4,911"
"    65 to 69 years","8,163","±425","1,849","±205","9,214","±448","256,651","±2,658","31,750","±924","1,246","±155","7,862","±515","2,815","±299","2,304","±242","31,460","±822","14,728","±590","1,223","±195","2,764","±257","6,807","±394","2,569","±272","3,669","±263","1,616","±129","1,077","±134","9,241","±444","2,534","±276","3,637","±325","1,462","±190","5,786","±366","13,001","±466","3,015","±252","2,297","±311","5,012","±384","2,460","±196","18,911","±816","2,890","±312","1,385","±132","1,625","±179","2,799","±232","1,906","±242","1,575","±265","6,194","±383","1,875","±205","7,852","±544","2,829","±293","16,840,799","±18,523","495,734","±3,294"
"    70 to 74 years","5,782","±392","1,635","±215","7,037","±428","185,335","±2,651","24,600","±920","1,182","±153","6,350","±476","2,136","±339","1,558","±232","25,323","±833","11,662","±566","1,180","±194","2,069","±256","5,205","±430","1,868","±261","2,836","±273","1,553","±141","634","±139","7,962","±412","2,079","±278","2,399","±287","1,451","±180","4,300","±346","8,996","±430","2,378","±255","1,738","±301","4,212","±353","1,913","±208","13,809","±826","2,338","±290","1,110","±151","1,155","±175","1,803","±226","1,539","±224","1,667","±256","4,834","±408","1,514","±193","5,907","±520","2,513","±276","12,701,467","±18,226","371,561","±3,422"
"    75 years and over","8,947","±96","2,367","±132","10,497","±183","255,707","±556","36,344","±324","1,839","±4","9,047","±189","3,296","±117","2,591","±74","41,090","±234","17,747","±193","1,734","±115","3,412","±117","8,001","±244","2,553","±117","4,834","±156","2,111","±80","1,139","±10","11,709","±140","2,461","±190","3,743","±87","1,744","±114","6,502","±136","15,135","±176","3,470","±29","2,902","±130","6,836","±149","2,389","±27","21,125","±158","3,251","±57","1,800","±80","1,939","±56","3,250","±14","2,414","±77","1,839","±56","7,694","±208","2,470","±136","9,511","±239","3,900","±97","21,241,530","±4,060","539,190","±1,069"
"    Same house 1 year ago:","121,084","±2,039","28,882","±954","160,689","±2,180","4,931,282","±13,281","510,847","±3,669","22,461","±670","100,412","±1,506","50,035","±846","36,825","±738","476,862","±3,350","250,760","±2,772","19,660","±678","39,433","±714","130,724","±1,244","45,975","±732","55,942","±815","23,321","±613","15,502","±381","170,490","±1,650","56,160","±1,704","60,791","±849","25,793","±669","89,217","±1,268","194,072","±2,130","44,106","±961","37,530","±1,054","81,890","±1,249","42,376","±1,017","304,386","±3,582","53,924","±1,431","21,536","±676","22,477","±735","36,214","±936","36,357","±754","21,603","±838","122,438","±1,450","29,850","±847","149,774","±2,221","47,870","±1,007","275,328,008","±182,093","8,730,768","±16,116"
"        1 to 4 years","5,560","±432","1,488","±231","7,282","±415","246,561","±3,476","23,189","±910","1,277","±180","4,017","±418","2,173","±222","1,936","±282","21,028","±737","12,400","±737","920","±235","1,901","±177","6,632","±401","2,602","±233","2,549","±255","771","±128","862","±106","9,168","±450","3,703","±430","3,254","±263","1,395","±258","4,439","±403","9,350","±562","1,707","±278","1,996","±290","3,914","±317","2,295","±281","15,124","±717","2,571","±277","861","±176","1,170","±143","1,673","±253","1,974","±200","999","±222","6,818","±366","1,491","±233","7,177","±562","2,177","±270","13,083,237","±26,141","425,890","±4,155"
"        5 to 17 years","21,327","±735","4,717","±484","26,205","±849","932,971","±4,448","88,995","±1,421","3,956","±306","16,316","±473","9,536","±360","7,114","±282","75,645","±1,084","43,231","±925","3,642","±229","6,771","±277","26,158","±449","8,603","±260","9,505","±349","3,343","±257","3,009","±100","33,104","±600","10,176","±614","11,807","±252","4,856","±303","15,507","±485","33,951","±830","6,213","±294","7,143","±473","14,257","±553","7,450","±387","52,409","±1,170","8,595","±549","3,473","±240","3,841","±338","6,342","±369","6,767","±207","3,150","±348","21,766","±661","5,240","±384","27,837","±793","8,273","±489","47,015,465","±56,175","1,594,152","±5,968"
