"","Albany, GA Metro Area","","Americus, GA Micro Area","","Athens-Clarke County, GA Metro Area","","Atlanta-Sandy Springs-Roswell, GA Metro Area","","Augusta-Richmond County, GA-SC Metro Area","","Bainbridge, GA Micro Area","","Brunswick, GA Metro Area","","Calhoun, GA Micro Area","","Cedartown, GA Micro Area","","Chattanooga, TN-GA Metro Area","","Columbus, GA-AL Metro Area","","Cordele, GA Micro Area","","Cornelia, GA Micro Area","","Dalton, GA Metro Area","","Douglas, GA Micro Area","","Dublin, GA Micro Area","","Eufaula, AL-GA Micro Area","","Fitzgerald, GA Micro Area","","Gainesville, GA Metro Area","","Hinesville, GA Metro Area","","Jefferson, GA Micro Area","","Jesup, GA Micro Area","","LaGrange, GA Micro Area","","Macon-Bibb County, GA Metro Area","","Milledgeville, GA Micro Area","","Moultrie, GA Micro Area","","Rome, GA Metro Area","","St. Marys, GA Micro Area","","Savannah, GA Metro Area","","Statesboro, GA Micro Area","","Summerville, GA Micro Area","","Thomaston, GA Micro Area","","Thomasville, GA Micro Area","","Tifton, GA Micro Area","","Toccoa, GA Micro Area","","Valdosta, GA Metro Area","","Vidalia, GA Micro Area","","Warner Robins, GA Metro Area","","Waycross, GA Micro Area","","United States","","Georgia",""
"    45 to 49 years","9,120","±141","2,143","±106","11,680","±246","425,827","±707","35,894","±348","1,700","±50","7,400","±180","4,171","±223","2,678","±202","36,212","±245","18,332","±256","1,313","±128","2,959","±159","9,922","±165","2,929","±172","3,559","±92","1,780","±67","982","±158","13,681","±103","3,955","±278","4,756","±158","2,040","±151","4,355","±117","14,080","±235","3,021","±231","2,905","±90","6,115","±118","3,059","±134","22,890","±222","3,866","±111","1,661","±84","1,687","±14","2,827","±69","2,350","±121","1,856","±159","8,004","±279","2,132","±128","12,056","±265","3,557","±205","20,827,879","±5,660","704,947","±1,411"
"    50 to 54 years","9,702","±137","2,171","±112","11,176","±180","407,635","±632","39,380","±273","1,856","±50","8,083","±159","4,125","±212","2,688","±185","37,512","±221","19,449","±221","1,479","±34","2,796","±112","9,706","±171","2,934","±140","3,783","±87","1,888","±66","1,245","±149","12,960","±110","4,301","±244","4,576","±187","1,988","±117","4,683","±139","15,678","±152","3,570","±174","2,928","±86","6,416","±120","3,224","±92","23,695","±154","4,006","±118","1,647","±90","1,894","±17","3,199","±82","2,407","±74","1,624","±118","8,478","±154","2,256","±116","13,295","±233","3,688","±133","21,761,694","±5,788","702,308","±1,297"
"    55 to 59 years","9,673","±520","2,105","±240","11,181","±584","364,141","±3,428","39,171","±1,245","1,998","±219","8,785","±517","3,631","±343","2,700","±274","37,371","±1,041","19,373","±663","1,688","±209","2,527","±262","9,011","±527","2,379","±269","3,957","±266","1,775","±188","1,104","±136","11,702","±537","4,105","±336","4,097","±338","1,870","±206","4,671","±283","15,685","±623","3,657","±316","2,950","±264","6,194","±368","3,489","±276","24,221","±836","3,575","±307","1,739","±186","1,911","±216","3,151","±343","2,608","±296","1,942","±277","8,114","±490","2,313","±225","12,779","±690","3,535","±324","21,611,374","±21,797","656,064","±4,159"
"    60 to 64 years","9,834","±575","2,137","±222","10,871","±591","308,279","±3,353","38,995","±1,204","1,426","±218","8,014","±465","3,295","±317","2,516","±297","37,338","±1,041","17,454","±695","1,435","±199","2,881","±270","7,399","±513","2,524","±281","3,507","±269","1,916","±185","1,228","±138","10,495","±535","3,471","±367","3,667","±336","1,807","±193","3,941","±290","15,177","±619","3,369","±321","2,301","±252","5,940","±390","2,539","±269","20,730","±832","3,835","±301","1,592","±174","1,765","±215","2,915","±345","2,209","±297","1,552","±275","7,490","±471","2,107","±226","10,164","±648","3,399","±347","19,675,357","±20,514","578,604","±3,758"
"    65 to 69 years","8,252","±383","1,837","±190","8,874","±438","248,199","±2,359","31,358","±930","1,186","±167","7,668","±413","2,607","±247","2,356","±269","31,181","±830","13,659","±458","1,370","±194","2,649","±230","6,512","±315","2,107","±206","3,356","±216","1,662","±136","969","±151","8,817","±411","2,525","±284","3,363","±262","1,426","±168","3,417","±238","12,750","±487","2,861","±245","2,234","±256","4,838","±333","2,539","±224","17,947","±658","2,779","±285","1,361","±130","1,622","±177","2,743","±227","1,843","±218","1,562","±246","6,190","±401","1,865","±223","8,278","±490","2,854","±235","16,409,942","±17,738","481,669","±3,473"
"    70 to 74 years","5,628","±358","1,561","±194","6,593","±412","174,619","±2,463","22,874","±924","1,225","±148","5,809","±411","2,317","±282","1,460","±240","23,928","±819","10,425","±460","991","±193","2,120","±245","5,336","±366","1,542","±214","2,184","±236","1,456","±139","699","±158","7,722","±393","1,888","±315","2,469","±236","1,345","±166","2,529","±244","8,810","±462","2,360","±238","1,727","±247","4,104","±350","1,691","±208","13,378","±660","2,301","±277","1,098","±138","1,142","±177","1,767","±222","1,601","±201","1,544","±251","4,595","±390","1,586","±193","6,278","±482","2,377","±236","12,125,477","±18,334","353,555","±3,473"
"    75 years and over","9,043","±126","2,304","±126","9,927","±134","242,954","±533","35,078","±255","1,810","±4","8,623","±173","3,106","±106","2,454","±116","39,959","±257","16,398","±202","1,653","±68","3,298","±102","7,718","±215","2,079","±86","4,166","±76","2,124","±80","1,113","±21","11,219","±85","2,377","±213","3,643","±112","1,708","±24","3,947","±34","14,622","±168","3,399","±45","2,743","±117","6,694","±86","2,206","±25","20,250","±141","3,095","±31","1,742","±68","1,943","±2","3,167","±16","2,334","±70","1,786","±39","7,357","±163","2,382","±126","10,141","±298","3,838","±79","20,703,162","±3,426","517,065","±828"
"    Same house 1 year ago:","125,804","±1,721","28,791","±950","158,427","±1,951","4,846,011","±12,366","502,898","±3,462","22,930","±664","97,653","±1,503","49,160","±962","36,204","±945","474,522","±3,115","239,498","±2,764","19,021","±690","39,217","±629","128,823","±1,404","38,371","±720","49,460","±822","23,467","±587","15,393","±439","168,951","±1,834","56,013","±1,349","59,548","±741","25,096","±757","58,045","±1,204","192,312","±2,208","42,982","±956","36,907","±1,152","80,631","±1,506","41,355","±1,186","296,784","±3,050","53,603","±1,373","21,651","±675","21,588","±790","36,501","±1,041","36,356","±626","22,154","±724","118,911","±1,689","29,973","±884","158,228","±2,326","48,005","±804","273,020,967","±194,275","8,609,080","±16,474"
"        1 to 4 years","6,018","±421","1,411","±192","7,182","±355","244,895","±3,072","23,204","±786","1,261","±168","4,134","±395","2,187","±282","1,974","±255","20,801","±746","12,074","±766","798","±216","1,975","±185","6,698","±354","2,094","±237","2,265","±241","745","±144","805","±146","9,186","±448","3,585","±380","3,198","±260","1,464","±271","2,973","±340","8,963","±556","1,651","±274","2,038","±288","3,924","±282","2,212","±261","14,449","±806","2,491","±262","853","±191","1,023","±234","1,616","±237","1,927","±186","1,101","±220","6,534","±427","1,245","±201","7,685","±468","2,290","±266","13,029,501","±27,178","423,068","±3,932"
"        5 to 17 years","22,530","±726","4,645","±424","25,552","±794","925,105","±4,608","87,124","±1,274","3,948","±311","15,901","±543","9,335","±395","6,933","±400","75,122","±1,245","42,038","±949","3,588","±253","6,820","±220","25,761","±510","7,098","±241","8,457","±342","3,340","±246","3,042","±158","33,744","±494","10,184","±523","11,714","±249","4,576","±272","10,833","±394","33,838","±769","6,216","±360","6,770","±488","14,067","±554","7,535","±380","51,417","±1,127","8,611","±425","3,622","±254","3,652","±251","6,302","±396","6,616","±298","3,513","±369","21,247","±688","5,523","±373","29,446","±791","8,543","±356","46,912,517","±58,285","1,584,627","±5,880"
