"","Albany, GA Metro Area","","Americus, GA Micro Area","","Athens-Clarke County, GA Metro Area","","Atlanta-Sandy Springs-Roswell, GA Metro Area","","Augusta-Richmond County, GA-SC Metro Area","","Bainbridge, GA Micro Area","","Brunswick, GA Metro Area","","Calhoun, GA Micro Area","","Cedartown, GA Micro Area","","Chattanooga, TN-GA Metro Area","","Columbus, GA-AL Metro Area","","Cordele, GA Micro Area","","Cornelia, GA Micro Area","","Dalton, GA Metro Area","","Douglas, GA Micro Area","","Dublin, GA Micro Area","","Eufaula, AL-GA Micro Area","","Fitzgerald, GA Micro Area","","Gainesville, GA Metro Area","","Hinesville, GA Metro Area","","Jefferson, GA Micro Area","","Jesup, GA Micro Area","","LaGrange, GA Micro Area","","Macon-Bibb County, GA Metro Area","","Milledgeville, GA Micro Area","","Moultrie, GA Micro Area","","Rome, GA Metro Area","","St. Marys, GA Micro Area","","Savannah, GA Metro Area","","Statesboro, GA Micro Area","","Summerville, GA Micro Area","","Thomaston, GA Micro Area","","Thomasville, GA Micro Area","","Tifton, GA Micro Area","","Toccoa, GA Micro Area","","Valdosta, GA Metro Area","","Vidalia, GA Micro Area","","Warner Robins, GA Metro Area","","Waycross, GA Micro Area","","United States","","Georgia",""
"        5 to 17 years","3,422","±595","1,215","±408","1,851","±506","77,482","±3,439","8,557","±1,089","640","±259","1,630","±406","822","±284","683","±292","7,413","±1,017","6,337","±822","317","±212","168","±102","1,257","±356","377","±183","987","±242","778","±242","179","±148","2,912","±479","2,287","±463","317","±146","507","±256","1,266","±338","4,002","±717","696","±243","1,391","±421","2,076","±521","716","±242","8,252","±1,024","1,309","±336","531","±225","569","±208","789","±271","518","±279","258","±172","1,947","±480","599","±329","2,682","±527","725","±307","4,398,335","±45,385","147,064","±4,738"
"        18 and 19 years","545","±186","145","±81","1,107","±212","13,117","±1,123","1,093","±286","31","±33","262","±115","64","±47","11","±15","1,423","±266","655","±206","0","±25","63","±44","138","±87","85","±59","138","±101","50","±29","80","±75","204","±78","309","±148","63","±47","168","±103","333","±125","518","±190","387","±213","81","±74","328","±144","85","±58","1,557","±321","1,362","±305","37","±32","43","±33","51","±33","80","±84","70","±57","232","±100","49","±42","246","±128","127","±83","852,100","±7,783","25,034","±1,364"
"        20 to 24 years","1,628","±337","792","±293","6,092","±552","42,968","±1,625","4,094","±597","123","±89","811","±200","348","±147","149","±125","4,835","±585","2,992","±443","249","±111","207","±156","744","±292","368","±156","332","±119","206","±99","53","±43","1,360","±277","1,076","±245","308","±126","288","±196","774","±231","2,553","±396","1,235","±295","480","±207","1,414","±348","717","±263","5,525","±582","3,771","±659","133","±84","436","±197","537","±206","154","±90","24","±31","3,115","±478","346","±185","2,086","±605","423","±154","3,573,099","±14,531","92,104","±2,729"
"        25 to 29 years","1,275","±297","390","±168","2,211","±410","51,829","±1,964","5,499","±690","192","±118","889","±236","485","±170","308","±164","5,022","±676","4,157","±540","262","±114","138","±76","1,065","±309","313","±151","419","±127","328","±114","189","±148","1,888","±365","1,187","±305","200","±110","172","±146","886","±278","2,341","±432","314","±123","471","±178","1,215","±329","472","±197","5,952","±649","966","±274","266","±114","536","±250","466","±187","184","±117","51","±59","1,581","±281","274","±156","2,656","±538","392","±198","3,502,859","±16,400","93,842","±2,602"
"        30 to 34 years","1,344","±343","332","±173","1,494","±306","40,926","±1,609","3,557","±492","374","±145","690","±230","136","±80","291","±147","3,779","±567","2,550","±373","155","±99","83","±62","590","±223","95","±73","378","±142","262","±109","32","±38","1,104","±293","980","±195","238","±100","333","±172","554","±215","2,005","±357","226","±129","491","±183","783","±215","518","±174","3,910","±469","582","±179","186","±115","259","±120","310","±119","268","±104","91","±85","1,081","±284","185","±140","1,246","±346","165","±91","2,585,462","±16,239","71,502","±2,087"
"        35 to 39 years","1,268","±286","300","±145","968","±308","32,600","±1,623","3,036","±431","226","±127","827","±256","414","±184","124","±112","3,009","±435","2,195","±441","147","±96","184","±114","446","±159","70","±60","300","±92","113","±70","52","±71","851","±259","701","±193","176","±119","169","±108","621","±199","956","±237","88","±55","368","±163","848","±245","336","±126","3,586","±475","608","±269","184","±133","149","±82","316","±166","91","±58","110","±88","608","±266","180","±130","1,026","±332","245","±97","1,915,598","±18,173","57,305","±1,962"
"        40 to 44 years","756","±193","145","±102","715","±294","26,094","±1,528","2,195","±378","195","±120","507","±180","250","±162","133","±96","2,212","±265","1,661","±356","165","±123","35","±22","424","±147","136","±82","292","±106","123","±57","41","±51","865","±219","329","±128","110","±88","286","±191","359","±131","942","±225","313","±135","277","±154","693","±226","186","±101","1,909","±317","281","±122","115","±86","99","±71","304","±168","116","±63","110","±100","556","±172","150","±100","934","±385","108","±72","1,501,885","±15,108","44,710","±1,946"
"        45 to 49 years","608","±204","38","±47","453","±165","22,644","±1,188","1,886","±335","67","±70","595","±221","177","±99","162","±99","2,194","±418","1,113","±247","110","±85","59","±48","462","±168","145","±85","256","±114","138","±81","80","±77","602","±173","115","±74","109","±77","100","±69","290","±113","828","±253","470","±174","213","±119","543","±181","179","±181","2,132","±436","201","±134","70","±63","311","±159","128","±91","175","±105","125","±121","306","±129","98","±73","728","±259","66","±58","1,299,486","±13,207","37,702","±1,498"
"        50 to 54 years","742","±169","170","±108","482","±172","18,756","±1,292","1,709","±357","29","±29","469","±161","263","±156","105","±99","1,852","±334","1,463","±251","61","±55","77","±64","392","±139","134","±88","129","±75","84","±41","28","±23","645","±206","284","±150","72","±49","126","±86","351","±166","852","±201","157","±117","70","±46","299","±101","195","±115","1,993","±338","226","±108","72","±59","83","±54","220","±118","71","±56","40","±42","536","±182","119","±75","592","±236","127","±83","1,160,520","±11,393","33,757","±1,585"
"        55 to 59 years","482","±134","29","±25","406","±130","13,936","±981","2,212","±411","55","±43","381","±147","126","±85","103","±75","1,570","±267","1,231","±253","152","±135","28","±23","194","±89","29","±30","156","±68","56","±40","57","±61","526","±209","70","±43","35","±34","123","±84","183","±103","600","±149","150","±93","243","±111","337","±115","154","±79","2,107","±562","213","±105","68","±52","154","±87","161","±117","37","±40","93","±89","321","±131","96","±74","506","±213","89","±57","991,117","±8,697","26,866","±1,476"
"        60 to 64 years","421","±144","158","±87","353","±153","10,977","±1,095","1,321","±278","38","±34","333","±136","93","±42","64","±53","1,170","±273","704","±174","67","±51","53","±38","435","±185","48","±45","182","±78","35","±21","40","±45","314","±130","101","±69","29","±39","83","±62","218","±113","372","±126","115","±68","118","±73","301","±117","124","±95","1,008","±280","136","±86","61","±52","46","±31","133","±96","59","±57","151","±90","169","±75","189","±111","230","±120","107","±82","785,867","±6,764","20,473","±1,513"
"        65 to 69 years","349","±173","78","±64","294","±112","6,334","±681","914","±259","38","±28","267","±119","83","±61","130","±75","842","±212","424","±128","46","±48","64","±56","97","±57","29","±43","116","±58","45","±28","64","±74","245","±142","90","±67","149","±94","46","±38","158","±98","511","±131","81","±59","43","±28","139","±66","105","±67","706","±195","46","±38","24","±28","61","±48","126","±53","59","±49","41","±37","196","±75","12","±16","150","±97","66","±49","534,657","±5,115","13,307","±884"
"        70 to 74 years","173","±96","56","±60","72","±50","4,785","±615","596","±181","11","±19","123","±78","28","±44","52","±65","682","±190","371","±161","43","±66","45","±38","170","±87","45","±54","24","±21","59","±33","35","±30","182","±88","45","±34","36","±43","18","±27","77","±50","252","±127","23","±27","70","±66","161","±87","104","±100","333","±110","151","±107","37","±41","83","±80","47","±42","57","±53","45","±43","150","±94","58","±51","256","±112","92","±64","381,993","±3,535","9,442","±786"
"        75 years and over","376","±133","133","±77","415","±174","7,832","±672","1,074","±234","75","±49","373","±175","56","±42","77","±65","1,378","±256","570","±176","50","±43","75","±52","81","±48","71","±53","126","±59","63","±34","59","±34","410","±147","50","±33","95","±52","39","±35","184","±85","391","±134","63","±44","112","±86","268","±106","30","±31","933","±240","81","±49","89","±52","89","±54","95","±61","46","±32","29","±32","327","±147","48","±46","211","±118","113","±69","870,284","±5,950","16,185","±885"
"    Moved from different county within same state:","7,649","±910","1,859","±371","19,766","±1,307","274,204","±6,448","17,672","±1,819","969","±272","6,191","±975","2,351","±770","1,630","±565","12,903","±1,308","11,857","±1,144","1,180","±299","2,385","±452","3,163","±511","1,381","±319","1,444","±332","903","±198","339","±163","7,538","±816","5,406","±947","2,521","±503","808","±357","2,302","±458","11,868","±1,045","5,155","±603","1,561","±431","3,321","±624","1,979","±601","16,249","±1,363","8,664","±986","514","±197","745","±213","1,719","±431","1,078","±307","1,235","±445","5,695","±755","2,072","±457","8,186","±1,358","2,191","±575","10,334,215","±40,019","483,060","±8,117"
"        1 to 4 years","235","±116","99","±84","307","±125","18,181","±1,416","995","±304","0","±25","438","±199","177","±164","50","±58","656","±216","817","±266","106","±82","88","±55","194","±113","123","±105","97","±77","27","±27","0","±21","380","±150","626","±184","305","±139","98","±117","142","±98","834","±229","101","±90","15","±18","187","±150","133","±98","939","±370","452","±214","14","±23","43","±42","46","±40","78","±74","69","±70","350","±154","140","±76","553","±218","259","±155","589,055","±8,569","30,058","±1,768"
"        5 to 17 years","1,041","±295","229","±116","2,138","±629","38,385","±2,356","2,719","±624","150","±148","1,223","±407","409","±219","319","±227","1,589","±465","1,502","±464","303","±112","185","±127","396","±165","99","±71","206","±141","65","±45","18","±27","676","±170","1,169","±432","367","±188","63","±86","363","±192","1,645","±392","441","±229","288","±206","445","±176","248","±199","1,569","±352","721","±365","56","±40","66","±65","365","±191","110","±134","358","±276","504","±212","368","±205","1,478","±518","405","±223","1,213,764","±14,387","65,617","±2,921"
"        18 and 19 years","822","±231","353","±115","7,233","±430","12,036","±1,107","1,134","±290","5","±9","276","±145","34","±41","22","±22","1,700","±314","992","±259","59","±68","206","±100","109","±61","98","±48","46","±41","16","±18","0","±21","312","±98","138","±83","84","±55","15","±23","66","±34","850","±165","1,356","±196","28","±32","291","±111","102","±68","2,033","±380","4,070","±374","37","±43","61","±58","35","±29","162","±118","91","±39","739","±208","127","±73","654","±172","10","±17","862,196","±5,694","36,302","±1,483"
"        20 to 24 years","1,196","±258","390","±138","4,170","±503","38,146","±1,866","2,451","±423","140","±61","866","±241","205","±170","266","±125","2,124","±365","2,109","±402","105","±91","295","±106","421","±143","142","±83","160","±84","190","±85","61","±76","1,093","±291","781","±244","154","±71","103","±82","262","±122","1,349","±340","1,218","±349","299","±161","611","±169","421","±195","2,448","±426","1,842","±455","93","±85","86","±70","321","±185","115","±77","139","±94","1,506","±323","388","±139","785","±241","310","±134","1,656,032","±12,687","70,058","±2,032"
"        25 to 29 years","1,301","±429","199","±73","1,252","±282","41,301","±1,880","2,412","±397","128","±50","528","±172","418","±211","160","±138","2,003","±413","1,912","±308","116","±79","216","±97","370","±133","240","±108","213","±95","119","±60","106","±82","976","±243","838","±223","466","±158","50","±40","355","±144","1,563","±367","554","±185","302","±145","396","±203","568","±344","2,668","±487","289","±111","41","±36","93","±58","234","±139","78","±52","161","±151","784","±209","212","±163","808","±242","291","±110","1,477,483","±10,570","67,821","±2,325"
"        30 to 34 years","582","±203","149","±69","989","±294","28,729","±1,744","1,550","±356","158","±58","789","±292","352","±172","143","±115","974","±217","923","±223","157","±111","171","±80","236","±120","127","±76","147","±85","122","±51","9","±16","708","±214","273","±135","321","±133","66","±52","210","±92","1,069","±299","313","±112","59","±49","243","±136","140","±114","1,838","±411","212","±107","51","±41","62","±69","69","±40","86","±58","13","±17","451","±172","97","±45","1,125","±304","223","±132","1,001,814","±7,269","46,502","±1,923"
"        35 to 39 years","606","±229","103","±47","824","±236","22,160","±1,337","1,550","±462","139","±99","420","±236","154","±82","81","±62","653","±240","907","±186","120","±100","178","±81","210","±92","125","±54","70","±36","81","±49","16","±18","391","±118","238","±131","115","±73","90","±76","278","±138","858","±258","377","±204","108","±77","307","±149","90","±77","1,123","±290","189","±121","11","±11","45","±51","108","±79","67","±71","98","±97","161","±110","111","±78","760","±331","48","±35","716,404","±8,230","36,925","±1,622"
"        40 to 44 years","405","±122","33","±31","531","±175","14,927","±1,156","989","±310","71","±46","228","±134","64","±57","203","±155","416","±137","711","±207","45","±36","191","±107","341","±148","153","±90","57","±31","50","±27","37","±57","448","±172","295","±142","41","±25","80","±76","228","±120","468","±136","153","±96","23","±21","150","±76","13","±21","784","±192","66","±52","26","±29","94","±102","91","±91","76","±73","36","±40","288","±123","170","±98","362","±156","98","±51","531,821","±6,478","24,881","±1,403"
"        45 to 49 years","443","±179","71","±62","704","±213","15,926","±1,152","791","±215","42","±39","251","±149","104","±78","147","±108","749","±276","523","±157","0","±25","300","±147","227","±102","100","±61","35","±29","46","±42","0","±21","636","±205","299","±131","68","±60","55","±55","56","±66","563","±161","157","±104","65","±48","139","±85","34","±28","754","±242","177","±121","21","±24","34","±30","117","±102","93","±67","3","±6","132","±82","58","±49","306","±138","37","±29","473,288","±5,569","25,569","±1,258"
"        50 to 54 years","197","±90","86","±92","245","±104","13,371","±977","942","±269","51","±45","310","±164","94","±85","54","±53","468","±166","379","±149","46","±48","220","±118","118","±76","75","±75","62","±43","41","±30","10","±15","687","±168","341","±182","64","±44","85","±68","54","±37","701","±201","186","±77","113","±87","176","±75","53","±53","405","±134","206","±100","77","±52","74","±42","74","±54","12","±17","94","±89","177","±107","74","±58","296","±150","69","±52","440,668","±4,984","22,780","±1,163"
"        55 to 59 years","305","±135","60","±48","536","±160","9,807","±915","678","±210","56","±65","204","±108","138","±90","100","±98","502","±175","325","±120","39","±48","91","±62","114","±72","38","±34","76","±48","23","±23","7","±15","463","±127","144","±90","194","±85","53","±40","113","±79","546","±133","70","±53","77","±64","89","±68","35","±38","581","±216","127","±99","18","±18","15","±17","115","±105","66","±65","0","±25","298","±136","128","±71","353","±219","166","±105","385,545","±5,253","18,373","±1,194"
"        60 to 64 years","141","±68","41","±42","257","±111","7,802","±734","370","±132","25","±36","197","±103","63","±55","29","±41","324","±135","295","±133","53","±56","94","±66","53","±45","40","±36","90","±54","0","±21","0","±21","229","±101","32","±27","169","±89","20","±19","74","±61","266","±113","31","±31","52","±46","56","±43","73","±59","385","±174","128","±90","41","±55","15","±29","37","±43","76","±57","132","±97","113","±61","50","±43","369","±206","48","±36","314,753","±4,810","13,122","±924"
"        65 to 69 years","157","±109","0","±28","246","±94","4,653","±617","497","±202","2","±5","127","±68","64","±65","56","±69","263","±124","146","±62","0","±25","58","±43","203","±114","8","±15","64","±55","55","±69","33","±33","171","±99","69","±65","80","±51","5","±11","26","±31","324","±153","46","±38","55","±40","81","±81","14","±21","275","±138","78","±68","0","±25","0","±25","52","±56","30","±34","23","±26","74","±64","6","±10","164","±101","72","±47","222,795","±3,526","8,985","±681"
"        70 to 74 years","73","±46","11","±21","109","±61","3,213","±389","204","±79","0","±25","172","±100","9","±19","0","±28","179","±89","110","±60","22","±35","0","±28","40","±36","0","±28","33","±34","16","±19","15","±17","170","±89","25","±35","30","±21","5","±10","27","±31","376","±212","23","±29","0","±28","74","±56","11","±18","186","±91","47","±44","18","±22","20","±33","41","±37","0","±28","0","±25","59","±53","116","±119","74","±63","109","±76","150,004","±2,597","6,211","±538"
"        75 years and over","145","±87","35","±45","225","±111","5,567","±627","390","±143","2","±5","162","±83","66","±59","0","±28","303","±116","206","±119","9","±13","92","±65","131","±65","13","±22","88","±54","52","±33","27","±34","198","±79","138","±101","63","±47","20","±29","48","±33","456","±170","129","±61","77","±56","76","±46","44","±42","261","±131","60","±44","10","±16","37","±22","14","±17","29","±31","18","±30","59","±40","27","±25","99","±61","46","±38","298,593","±3,659","9,856","±677"
"    Moved from different state:","2,571","±606","264","±133","6,105","±825","154,683","±6,071","21,183","±1,457","350","±195","2,464","±455","693","±281","535","±240","17,319","±1,552","21,171","±1,657","265","±125","501","±226","2,319","±792","570","±275","1,104","±472","591","±202","117","±64","3,640","±737","7,272","±861","936","±345","923","±419","1,555","±408","3,190","±566","586","±212","1,565","±605","1,666","±432","3,985","±580","17,524","±1,587","1,178","±355","273","±149","248","±114","1,649","±466","258","±122","605","±291","5,622","±1,011","735","±384","5,552","±1,053","712","±340","7,443,306","±31,684","279,999","±6,970"
"        1 to 4 years","203","±115","12","±19","442","±199","9,920","±1,080","1,376","±375","71","±77","141","±85","99","±103","9","±17","1,067","±254","1,621","±291","22","±37","19","±31","164","±155","52","±51","156","±102","54","±42","0","±21","105","±87","901","±267","92","±94","124","±167","65","±51","317","±167","30","±32","107","±121","78","±67","277","±122","1,169","±315","62","±63","49","±65","13","±20","127","±91","0","±28","22","±36","434","±171","120","±135","289","±211","72","±66","441,675","±6,000","18,790","±1,393"
"        5 to 17 years","431","±225","48","±54","551","±254","24,273","±1,955","3,055","±596","51","±56","380","±152","111","±88","35","±42","2,196","±533","2,815","±417","7","±10","89","±118","449","±328","54","±80","310","±222","140","±87","0","±21","564","±251","1,229","±339","113","±84","145","±142","255","±154","452","±175","52","±59","407","±243","203","±152","491","±188","2,130","±447","105","±65","30","±47","0","±25","424","±212","10","±16","104","±125","742","±333","223","±184","989","±417","71","±73","894,550","±10,746","41,133","±2,268"
"        18 and 19 years","59","±44","11","±15","773","±163","5,129","±594","1,495","±351","0","±25","36","±31","5","±9","43","±60","895","±215","2,197","±309","0","±25","59","±38","76","±47","46","±30","17","±26","26","±23","0","±21","96","±44","254","±89","24","±26","18","±24","2","±4","261","±114","127","±69","112","±114","181","±72","281","±110","1,250","±252","119","±71","13","±19","19","±27","34","±40","30","±27","11","±16","357","±225","16","±23","263","±138","0","±31","533,331","±5,069","13,833","±836"
"        20 to 24 years","504","±261","38","±37","1,237","±274","18,535","±1,187","2,955","±483","53","±64","203","±131","193","±149","32","±34","2,218","±363","4,101","±508","31","±39","14","±16","233","±115","20","±26","19","±30","13","±19","15","±20","478","±225","1,720","±292","61","±60","48","±72","400","±199","388","±147","59","±56","172","±154","230","±106","847","±193","2,391","±432","181","±115","39","±32","27","±34","120","±92","19","±29","48","±35","1,105","±312","63","±61","949","±350","82","±78","1,084,605","±9,232","38,398","±1,657"
"        25 to 29 years","304","±143","13","±21","953","±191","20,468","±1,414","2,717","±400","20","±18","219","±111","55","±63","38","±44","2,288","±425","3,515","±464","14","±23","73","±67","314","±158","0","±28","71","±54","34","±30","0","±21","338","±164","978","±233","89","±78","181","±106","168","±85","234","±97","115","±101","205","±139","142","±86","691","±239","2,890","±559","29","±25","44","±40","12","±15","251","±152","24","±26","74","±76","889","±232","29","±42","593","±264","35","±35","1,054,688","±8,833","37,030","±1,797"
"        30 to 34 years","180","±107","56","±59","466","±173","16,948","±1,145","2,067","±390","24","±24","353","±145","20","±32","62","±63","1,560","±312","2,237","±412","5","±10","0","±28","200","±150","115","±112","54","±49","57","±41","19","±19","314","±146","603","±163","10","±13","55","±60","168","±105","214","±88","55","±42","18","±28","119","±81","205","±121","1,626","±321","142","±117","12","±19","26","±31","263","±156","19","±31","69","±68","400","±179","23","±31","369","±182","109","±116","743,561","±6,512","27,735","±1,324"
"        35 to 39 years","54","±35","20","±21","350","±204","12,246","±1,087","1,588","±341","49","±37","100","±79","28","±28","103","±125","1,025","±262","1,168","±286","6","±10","0","±28","186","±107","2","±5","93","±113","65","±49","0","±21","248","±132","169","±94","200","±126","35","±35","92","±85","161","±103","31","±39","187","±122","152","±112","241","±122","1,101","±329","70","±63","15","±17","41","±64","144","±105","10","±16","69","±84","262","±110","0","±28","502","±239","39","±43","512,960","±6,955","20,144","±1,276"
"        40 to 44 years","71","±53","0","±28","244","±176","9,160","±904","1,025","±266","16","±27","74","±49","38","±44","0","±28","918","±222","985","±297","47","±61","120","±105","170","±136","87","±79","45","±40","7","±13","15","±23","210","±121","362","±142","58","±39","113","±60","65","±54","314","±133","43","±42","65","±56","79","±51","207","±121","718","±226","43","±49","0","±25","15","±29","49","±48","0","±28","33","±38","336","±161","38","±51","425","±242","23","±37","378,238","±5,671","15,600","±1,036"
"        45 to 49 years","102","±73","13","±20","106","±51","8,232","±1,116","1,059","±313","13","±17","108","±86","17","±28","5","±12","974","±255","535","±175","4","±7","16","±26","96","±97","5","±12","92","±120","68","±38","27","±42","136","±79","333","±130","21","±24","77","±53","43","±42","279","±142","0","±31","121","±86","49","±36","158","±112","853","±265","112","±76","20","±29","10","±16","134","±92","32","±39","0","±25","318","±190","104","±106","126","±87","121","±109","323,811","±4,753","14,168","±1,124"
"        50 to 54 years","202","±146","0","±28","142","±67","7,341","±666","790","±205","0","±25","297","±165","7","±13","32","±34","823","±235","540","±148","13","±22","26","±38","85","±70","20","±33","52","±38","33","±24","0","±21","317","±114","173","±86","17","±17","39","±30","135","±90","81","±61","0","±31","24","±29","71","±64","167","±97","970","±278","193","±112","23","±28","10","±16","7","±12","32","±30","36","±46","142","±100","27","±44","186","±98","5","±8","308,862","±4,632","12,480","±843"
"        55 to 59 years","50","±43","3","±5","119","±68","6,274","±615","777","±242","29","±35","106","±66","0","±31","39","±34","866","±292","454","±191","16","±20","0","±28","75","±50","4","±10","40","±38","14","±13","13","±20","145","±76","119","±64","88","±69","30","±48","29","±32","77","±46","9","±11","62","±62","84","±58","105","±56","643","±262","34","±32","10","±18","30","±35","15","±23","31","±29","31","±49","258","±147","76","±60","175","±124","11","±14","296,572","±4,166","10,378","±779"
"        60 to 64 years","122","±74","20","±31","229","±125","5,076","±655","1,010","±245","0","±25","168","±103","36","±55","0","±28","854","±248","519","±169","14","±16","18","±22","89","±61","4","±8","54","±52","30","±40","13","±19","151","±86","292","±216","36","±56","23","±42","22","±28","109","±60","15","±15","62","±66","96","±56","87","±58","656","±232","49","±48","4","±6","41","±42","0","±28","13","±23","23","±38","110","±62","10","±18","152","±120","54","±71","272,076","±3,970","9,724","±726"
"        65 to 69 years","140","±89","7","±10","181","±80","3,981","±551","495","±218","2","±5","155","±103","43","±43","113","±110","519","±142","222","±150","16","±18","27","±26","86","±73","98","±126","73","±68","21","±23","0","±21","96","±66","27","±19","30","±34","0","±25","45","±40","187","±91","8","±13","10","±17","89","±62","176","±101","576","±227","17","±27","14","±13","4","±6","52","±66","15","±24","31","±38","109","±58","6","±11","142","±83","0","±31","223,015","±3,612","7,760","±607"
"        70 to 74 years","82","±66","0","±28","101","±79","2,711","±523","338","±162","15","±23","64","±60","34","±51","24","±45","480","±166","96","±73","41","±62","10","±16","47","±55","0","±28","0","±31","22","±18","0","±21","182","±105","91","±106","41","±36","35","±57","20","±26","37","±30","0","±31","0","±28","30","±27","19","±20","215","±80","0","±31","0","±25","0","±25","11","±17","0","±28","24","±27","74","±65","0","±28","141","±91","37","±46","144,723","±2,754","5,173","±631"
"        75 years and over","67","±49","23","±28","211","±98","4,389","±560","436","±171","7","±11","60","±49","7","±15","0","±28","636","±219","166","±91","29","±48","30","±36","49","±53","63","±58","28","±25","7","±11","15","±22","260","±129","21","±20","56","±56","0","±25","46","±64","79","±53","42","±56","13","±19","63","±47","33","±30","336","±143","22","±25","0","±25","0","±25","18","±30","23","±36","30","±47","86","±68","0","±28","251","±132","53","±50","230,639","±3,293","7,653","±693"
"    Moved from abroad:","224","±104","37","±45","794","±291","37,959","±2,720","3,544","±729","20","±27","210","±127","188","±141","70","±70","1,189","±291","1,829","±385","18","±20","366","±298","160","±82","49","±55","138","±83","79","±65","34","±48","395","±196","1,373","±309","146","±84","106","±103","252","±124","706","±279","61","±53","110","±83","146","±81","204","±138","2,730","±482","174","±92","47","±47","0","±25","116","±86","95","±74","164","±113","634","±219","6","±12","934","±464","13","±20","2,087,731","±14,087","55,898","±3,265"
"        1 to 4 years","5","±9","0","±28","34","±47","2,725","±665","417","±191","0","±25","0","±31","0","±31","0","±28","126","±113","102","±62","0","±25","31","±71","10","±17","0","±28","12","±17","12","±21","0","±21","11","±17","33","±36","0","±31","0","±25","14","±23","18","±22","0","±31","0","±28","7","±12","0","±31","196","±109","0","±31","0","±25","0","±25","11","±19","0","±28","12","±20","38","±36","0","±28","73","±76","0","±31","113,070","±3,076","3,740","±725"
"        5 to 17 years","58","±57","1","±3","73","±60","5,187","±774","515","±240","6","±10","12","±19","25","±43","0","±28","103","±94","200","±88","0","±25","127","±117","13","±16","8","±11","0","±31","18","±16","19","±30","44","±56","85","±61","0","±31","17","±34","40","±38","99","±68","0","±31","4","±12","30","±52","57","±71","168","±101","11","±15","0","±25","0","±25","14","±18","0","±28","27","±43","5","±9","0","±28","97","±105","0","±31","297,224","±5,305","7,044","±851"
"        18 and 19 years","35","±40","0","±28","32","±32","1,605","±276","55","±44","0","±25","0","±31","0","±31","15","±24","58","±37","38","±36","0","±25","19","±36","8","±12","0","±28","0","±31","0","±21","0","±21","44","±60","9","±15","0","±31","24","±33","0","±31","56","±44","0","±31","0","±28","0","±31","0","±31","197","±78","21","±30","0","±25","0","±25","0","±28","0","±28","16","±22","0","±31","0","±28","18","±31","0","±31","99,347","±2,194","2,294","±274"
"        20 to 24 years","14","±15","8","±16","154","±68","3,725","±476","304","±111","0","±25","7","±10","0","±31","0","±28","174","±73","101","±53","0","±25","97","±83","33","±38","0","±28","0","±31","6","±11","0","±21","61","±85","541","±211","24","±37","0","±25","14","±21","94","±88","0","±31","0","±28","37","±38","54","±64","546","±138","35","±33","27","±43","0","±25","4","±8","0","±28","0","±25","189","±119","1","±3","0","±31","0","±31","283,827","±3,914","6,356","±593"
"        25 to 29 years","10","±16","0","±28","188","±105","5,398","±668","384","±139","0","±25","0","±31","34","±46","0","±28","287","±148","345","±163","0","±25","0","±28","0","±31","0","±28","26","±32","0","±21","0","±21","39","±37","298","±198","0","±31","0","±25","22","±26","49","±42","0","±31","0","±28","0","±31","12","±20","391","±177","44","±50","0","±25","0","±25","0","±28","9","±16","0","±25","139","±96","0","±28","164","±139","0","±31","277,104","±4,337","7,810","±746"
"        30 to 34 years","31","±38","0","±28","81","±54","4,590","±781","455","±211","0","±25","23","±32","0","±31","0","±28","108","±52","428","±181","0","±25","36","±53","8","±13","10","±17","18","±22","5","±11","10","±18","41","±47","160","±104","24","±39","0","±25","22","±34","57","±59","0","±31","8","±16","0","±31","15","±14","361","±191","27","±32","6","±10","0","±25","0","±28","38","±45","0","±25","155","±117","0","±28","140","±103","0","±31","221,716","±3,885","6,900","±928"
"        35 to 39 years","0","±31","0","±28","40","±46","2,890","±456","324","±224","0","±25","0","±31","53","±65","0","±28","34","±32","154","±90","0","±25","38","±43","7","±15","1","±4","7","±11","0","±21","0","±21","28","±46","83","±57","0","±31","15","±25","36","±39","75","±75","0","±31","43","±50","0","±31","33","±49","168","±111","0","±31","0","±25","0","±25","0","±28","16","±26","26","±40","43","±45","0","±28","66","±89","0","±31","158,345","±3,946","4,208","±597"
"        40 to 44 years","0","±31","0","±28","104","±97","2,326","±378","288","±203","0","±25","0","±31","0","±31","0","±28","31","±32","102","±66","0","±25","0","±28","33","±37","0","±28","22","±25","15","±26","0","±21","43","±47","59","±35","25","±29","0","±25","24","±29","39","±48","11","±19","0","±28","0","±31","24","±31","91","±65","27","±28","0","±25","0","±25","0","±28","0","±28","0","±25","7","±11","0","±28","19","±24","0","±31","121,267","±3,373","3,361","±458"
"        45 to 49 years","0","±31","2","±4","28","±26","1,516","±359","127","±78","0","±25","0","±31","0","±31","0","±28","18","±19","111","±60","0","±25","0","±28","10","±16","0","±28","4","±7","0","±21","0","±21","0","±31","25","±29","0","±31","17","±28","34","±40","77","±67","16","±21","0","±28","11","±18","0","±31","76","±49","0","±31","6","±9","0","±25","5","±11","0","±28","0","±25","0","±31","0","±28","34","±50","0","±31","95,142","±2,665","2,203","±410"
